No,Attributes
9136,+1:word.lower():esp
9137,word.lower():esp
9138,word[-3:]:eSP
9139,word[-2:]:SP
9140,word[:3]:eSP
9141,word[:2]:eS
9142,-1:word.lower():scoopy
9143,-1:word.lower():esp
9144,+1:word.lower():fancy
9145,word.lower():fancy
9146,word[-3:]:ncy
9147,word[-2:]:cy
9148,word[:3]:Fan
9149,-1:word.lower():fancy
9150,+1:word.lower():otr
9151,word.lower():otr
9152,word[-3:]:OTR
9153,word[-2:]:TR
9154,word[:3]:OTR
9155,word[:2]:OT
9156,"+1:word.lower():jakarta,"
9157,"word.lower():jakarta,"
9158,"word[-3:]:ta,"
9159,"word[-2:]:a,"
9160,-1:word.lower():otr
9161,"+1:word.lower():tangerang,"
9162,"word.lower():tangerang,"
9163,"word[-3:]:ng,"
9164,"word[-2:]:g,"
9165,"-1:word.lower():jakarta,"
9166,word[-3:]:gue
9167,+1:word.lower():walker
9168,word.lower():walker
9169,-1:word.lower():walker
9170,-1:word.lower():m
9171,word[:3]:whi
9172,+1:word.lower():fonepad
9173,word.lower():fonepad
9174,word[-3:]:pad
9175,word[:3]:Fon
9176,+1:word.lower():8
9177,word.lower():8
9178,word[-3:]:8
9179,word[-2:]:8
9180,word[:3]:8
9181,word[:2]:8
9182,-1:word.lower():fonepad
9183,+1:word.lower():fe380cg
9184,word.lower():fe380cg
9185,word[:3]:FE3
9186,word[:2]:FE
9187,-1:word.lower():8
9188,-1:word.lower():fe380cg
9189,+1:word.lower():sim/size
9190,word.lower():sim/size
9191,-1:word.lower():sim/size
9192,+1:word.lower():quad-core
9193,word.lower():quad-core
9194,+1:word.lower():/rom
9195,word.lower():/rom
9196,word[:3]:/RO
9197,word[:2]:/R
9198,-1:word.lower():quad-core
9199,-1:word.lower():/rom
9200,+1:word.lower():/ram
9201,word.lower():/ram
9202,word[:3]:/RA
9203,-1:word.lower():/ram
9204,+1:word.lower():/dual
9205,word.lower():/dual
9206,word[:3]:/Du
9207,word[:2]:/D
9208,+1:word.lower():camera/garansi
9209,word.lower():camera/garansi
9210,-1:word.lower():/dual
9211,-1:word.lower():camera/garansi
9212,word.lower():naif
9213,word[-3:]:aif
9214,word[:3]:Nai
9215,-1:word.lower():naif
9216,+1:word.lower():softening
9217,word.lower():softening
9218,-1:word.lower():softening
9219,+1:word.lower():lotion
9220,word.lower():lotion
9221,word[:3]:Lot
9222,word.lower():nature's
9223,word[-3:]:e's
9224,+1:word.lower():health
9225,word.lower():health
9226,word[-3:]:lth
9227,-1:word.lower():nature's
9228,-1:word.lower():health
9229,+1:word.lower():squalene
9230,word.lower():squalene
9231,word[-3:]:ene
9232,word[:3]:Squ
9233,word[:2]:Sq
9234,+1:word.lower():salmon
9235,word.lower():salmon
9236,-1:word.lower():squalene
9237,+1:word.lower():omega
9238,word.lower():omega
9239,word[:3]:Ome
9240,word[:2]:Om
9241,-1:word.lower():salmon
9242,-1:word.lower():omega
9243,+1:word.lower():epo
9244,word.lower():epo
9245,word[-3:]:EPO
9246,word[-2:]:PO
9247,word[:3]:EPO
9248,word[:2]:EP
9249,+1:word.lower():complex
9250,word.lower():complex
9251,-1:word.lower():epo
9252,+1:word.lower():cetak
9253,word.lower():cetak
9254,+1:word.lower():nota
9255,word.lower():nota
9256,word[-3:]:ota
9257,-1:word.lower():cetak
9258,+1:word.lower():bon
9259,word.lower():bon
9260,word[-3:]:Bon
9261,word[:3]:Bon
9262,-1:word.lower():nota
9263,+1:word.lower():ply
9264,word.lower():ply
9265,word[-3:]:Ply
9266,word[:3]:Ply
9267,-1:word.lower():bon
9268,+1:word.lower():carbonless
9269,word.lower():carbonless
9270,-1:word.lower():ply
9271,-1:word.lower():carbonless
9272,+1:word.lower():karbon
9273,word.lower():karbon
9274,+1:word.lower():nomerator
9275,word.lower():nomerator
9276,-1:word.lower():karbon
9277,-1:word.lower():nomerator
9278,+1:word.lower():donut
9279,word.lower():donut
9280,word[-3:]:nut
9281,+1:word.lower():babybeb
9282,word.lower():babybeb
9283,word[-3:]:beb
9284,word[-2:]:eb
9285,-1:word.lower():donut
9286,+1:word.lower():hearts
9287,word.lower():hearts
9288,-1:word.lower():hearts
9289,+1:word.lower():pen
9290,word.lower():pen
9291,word[-3:]:Pen
9292,+1:word.lower():pulpen
9293,-1:word.lower():pen
9294,+1:word.lower():11
9295,word.lower():11
9296,word[-3:]:11
9297,word[:3]:11
9298,-1:word.lower():11
9299,+1:word.lower():orange
9300,word.lower():orange
9301,word[-3:]:nge
9302,+1:word.lower():yellow
9303,-1:word.lower():orange
9304,+1:word.lower():lime
9305,word.lower():lime
9306,word[-3:]:ime
9307,-1:word.lower():lime
9308,+1:word.lower():navy
9309,word.lower():navy
9310,word[-3:]:avy
9311,word[-2:]:vy
9312,word[:3]:Nav
9313,+1:word.lower():purple
9314,word.lower():purple
9315,word[:3]:Pur
9316,-1:word.lower():navy
9317,-1:word.lower():purple
9318,word.lower():stock
9319,-1:word.lower():stock
9320,+1:word.lower():op5316
9321,word.lower():op5316
9322,word[:3]:Op5
9323,word[:2]:Op
9324,+1:word.lower():71
9325,word.lower():71
9326,word[-3:]:71
9327,word[-2:]:71
9328,word[:3]:71
9329,word[:2]:71
9330,-1:word.lower():op5316
9331,+1:word.lower():catenzo
9332,-1:word.lower():71
9333,+1:word.lower():junior
9334,word.lower():junior
9335,word[-3:]:ior
9336,word[:3]:Jun
9337,-1:word.lower():junior
9338,+1:word.lower():cpl
9339,word.lower():cpl
9340,word[-3:]:cpl
9341,word[-2:]:pl
9342,word[:3]:cpl
9343,word[:2]:cp
9344,+1:word.lower():912
9345,word.lower():912
9346,word[-3:]:912
9347,word[:3]:912
9348,word[:2]:91
9349,-1:word.lower():cpl
9350,word[-3:]:ece
9351,-1:word.lower():912
9352,-1:word.lower():fleece
9353,+1:word.lower():bimb5793
9354,word.lower():bimb5793
9355,word[-3:]:793
9356,word[-2:]:93
9357,word[:3]:Bim
9358,word.lower():liton
9359,word[:3]:Lit
9360,+1:word.lower():ankle
9361,word.lower():ankle
9362,word[:3]:Ank
9363,-1:word.lower():liton
9364,+1:word.lower():support
9365,word.lower():support
9366,-1:word.lower():ankle
9367,+1:word.lower():8624
9368,word.lower():8624
9369,word[-3:]:624
9370,word[:3]:862
9371,word[:2]:86
9372,-1:word.lower():support
9373,+1:word.lower():sablon
9374,word.lower():sablon
9375,word[:3]:Sab
9376,+1:word.lower():t48
9377,word.lower():t48
9378,word[-3:]:T48
9379,word[:3]:T48
9380,word[:2]:T4
9381,-1:word.lower():sablon
9382,+1:word.lower():20x30
9383,word.lower():20x30
9384,word[-3:]:x30
9385,word[:3]:20x
9386,-1:word.lower():t48
9387,word.lower():exfloating
9388,word[:3]:EXF
9389,word[:3]:GEL
9390,-1:word.lower():exfloating
9391,+1:word.lower():spa
9392,word.lower():spa
9393,word[-3:]:SPA
9394,word[-2:]:PA
9395,word[:3]:SPA
9396,-1:word.lower():spa
9397,+1:word.lower():pu
9398,word.lower():pu
9399,word[-3:]:PU
9400,word[:3]:PU
9401,word[:2]:PU
9402,-1:word.lower():pu
9403,+1:word.lower():soya
9404,word.lower():soya
9405,word[-3:]:oya
9406,word[:3]:Soy
9407,+1:word.lower():kemasan
9408,word.lower():kemasan
9409,-1:word.lower():soya
9410,+1:word.lower():baru
9411,word.lower():baru
9412,-1:word.lower():kemasan
9413,+1:word.lower():200gr
9414,word.lower():200gr
9415,-1:word.lower():baru
9416,word.lower():clearomizer
9417,+1:word.lower():kangertech
9418,word.lower():kangertech
9419,-1:word.lower():clearomizer
9420,+1:word.lower():aero
9421,word.lower():aero
9422,word[-3:]:ero
9423,word[:3]:aer
9424,word[:2]:ae
9425,-1:word.lower():kangertech
9426,-1:word.lower():aero
9427,+1:word.lower():vape/vaping/vapor/e-cigarete
9428,word.lower():vape/vaping/vapor/e-cigarete
9429,word[-3:]:ete
9430,word[:3]:vap
9431,+1:word.lower():@jakvapor.com
9432,word.lower():@jakvapor.com
9433,word[:3]:@ja
9434,word[:2]:@j
9435,-1:word.lower():vape/vaping/vapor/e-cigarete
9436,word.lower():oneplus
9437,-1:word.lower():oneplus
9438,word[:3]:ear
9439,word[:2]:ea
9440,-1:word.lower():+free
9441,+1:word.lower():oneplus
9442,+1:word.lower():jbl
9443,word[-3:]:JBL
9444,word[-2:]:BL
9445,word[:3]:JBL
9446,word[:2]:JB
9447,+1:word.lower():e1
9448,word.lower():e1
9449,word[-3:]:E1
9450,word[-2:]:E1
9451,word[:3]:E1
9452,word[:2]:E1
9453,word[-3:]:JAM
9454,word[:3]:JAM
9455,word[:3]:TAN
9456,word[-3:]:ITA
9457,word[-2:]:TA
9458,word[:3]:WAN
9459,word[:2]:WA
9460,word[-3:]:NDY
9461,word[-2:]:DY
9462,word[:3]:TRE
9463,word.lower():autorace
9464,+1:word.lower():obat
9465,word[-3:]:bat
9466,word[:3]:Oba
9467,word[:2]:Ob
9468,-1:word.lower():autorace
9469,word[-3:]:sih
9470,word[:3]:Pem
9471,+1:word.lower():cair
9472,word.lower():cair
9473,word[:3]:Cai
9474,+1:word.lower():cairan
9475,word.lower():cairan
9476,-1:word.lower():cair
9477,-1:word.lower():cairan
9478,+1:word.lower():jamur
9479,word.lower():jamur
9480,word[-3:]:mur
9481,-1:word.lower():jamur
9482,word.lower():cameron
9483,-1:word.lower():cameron
9484,+1:word.lower():138-2b
9485,word.lower():138-2b
9486,word[-3:]:-2B
9487,word[-2:]:2B
9488,word[:3]:138
9489,-1:word.lower():138-2b
9490,+1:word.lower():sendal
9491,word.lower():sendal
9492,word[:3]:Sen
9493,-1:word.lower():sendal
9494,-1:word.lower():pesta
9495,+1:word.lower():sued
9496,word.lower():sued
9497,word[-3:]:ued
9498,word[:3]:Sue
9499,+1:word.lower():12cm
9500,word.lower():12cm
9501,word[-3:]:2cm
9502,word[:3]:12c
9503,-1:word.lower():sued
9504,+1:word.lower():hard
9505,word.lower():hard
9506,-1:word.lower():hardcase
9507,-1:word.lower():hard
9508,word[:3]:kac
9509,word.lower():single-handed
9510,+1:word.lower():tune
9511,word.lower():tune
9512,word[-3:]:une
9513,-1:word.lower():single-handed
9514,+1:word.lower():release
9515,word.lower():release
9516,-1:word.lower():tune
9517,+1:word.lower():trigger</enamex>
9518,word.lower():trigger</enamex>
9519,-1:word.lower():release
9520,-1:word.lower():trigger</enamex>
9521,word.lower():bola
9522,word[-3:]:OLA
9523,word[-2:]:LA
9524,word[:3]:BOL
9525,+1:word.lower():sepak
9526,word.lower():sepak
9527,word[-3:]:PAK
9528,word[:3]:SEP
9529,-1:word.lower():bola
9530,+1:word.lower():mikasa
9531,word.lower():mikasa
9532,word[-3:]:ASA
9533,word[:3]:MIK
9534,-1:word.lower():sepak
9535,+1:word.lower():ft-5
9536,word.lower():ft-5
9537,word[-3:]:T-5
9538,word[-2:]:-5
9539,word[:3]:FT-
9540,word[:2]:FT
9541,-1:word.lower():mikasa
9542,-1:word.lower():ft-5
9543,+1:word.lower():alliace
9544,word.lower():alliace
9545,-1:word.lower():alliace
9546,+1:word.lower():k8
9547,word.lower():k8
9548,word[-3:]:K8
9549,word[-2:]:K8
9550,word[:3]:K8
9551,word[:2]:K8
9552,-1:word.lower():keyboard
9553,word[:3]:iro
9554,word[:2]:ir
9555,-1:word.lower():k8
9556,word[:3]:BAD
9557,+1:word.lower():flypower
9558,word.lower():flypower
9559,word[-3:]:WER
9560,word[:3]:FLY
9561,-1:word.lower():flypower
9562,+1:word.lower():seleting
9563,word.lower():seleting
9564,word[:3]:MOD
9565,-1:word.lower():seleting
9566,+1:word.lower():penghilang
9567,word.lower():penghilang
9568,+1:word.lower():bau
9569,word.lower():bau
9570,word[-3:]:Bau
9571,word[:3]:Bau
9572,-1:word.lower():penghilang
9573,word[:3]:Kak
9574,-1:word.lower():bau
9575,-1:word.lower():kaki
9576,+1:word.lower():(1
9577,word.lower():(1
9578,word[-3:]:(1
9579,word[-2:]:(1
9580,word[:3]:(1
9581,word[:2]:(1
9582,-1:word.lower():(1
9583,+1:word.lower():6)
9584,word.lower():6)
9585,word[-3:]:6)
9586,word[-2:]:6)
9587,word[:3]:6)
9588,word[:2]:6)
9589,word.lower():eleaf
9590,word[-3:]:eaf
9591,word[-2:]:af
9592,+1:word.lower():pico
9593,word.lower():pico
9594,word[-3:]:ico
9595,word[-2:]:co
9596,-1:word.lower():eleaf
9597,+1:word.lower():melo
9598,word.lower():melo
9599,word[-3:]:elo
9600,word[:3]:Mel
9601,-1:word.lower():pico
9602,+1:word.lower():iii
9603,word.lower():iii
9604,word[-3:]:III
9605,word[:3]:III
9606,-1:word.lower():melo
9607,-1:word.lower():iii
9608,+1:word.lower():atomizer
9609,word.lower():atomizer
9610,word[:3]:Ato
9611,-1:word.lower():atomizer
9612,word.lower():scinic
9613,word[:3]:SCI
9614,+1:word.lower():aqua
9615,word.lower():aqua
9616,word[-3:]:qua
9617,-1:word.lower():scinic
9618,+1:word.lower():ex
9619,word.lower():ex
9620,word[-3:]:EX
9621,word[:3]:EX
9622,-1:word.lower():aqua
9623,-1:word.lower():ex
9624,+1:word.lower():(2types)
9625,word.lower():(2types)
9626,word[-3:]:es)
9627,word[-2:]:s)
9628,word[:3]:(2t
9629,+1:word.lower():skincare
9630,word.lower():skincare
9631,-1:word.lower():(2types)
9632,-1:word.lower():skincare
9633,+1:word.lower():hamil
9634,word.lower():hamil
9635,word[-3:]:MIL
9636,word[:3]:HAM
9637,word[-3:]:TUN
9638,word[:3]:KAT
9639,-1:word.lower():hamil
9640,+1:word.lower():jbp003b
9641,word.lower():jbp003b
9642,word[-3:]:03B
9643,word[-2:]:3B
9644,word[:3]:JBP
9645,+1:word.lower():perdana
9646,word.lower():perdana
9647,+1:word.lower():simpati
9648,word.lower():simpati
9649,word[-3:]:ati
9650,-1:word.lower():perdana
9651,-1:word.lower():simpati
9652,+1:word.lower():0812
9653,word.lower():0812
9654,word[-3:]:812
9655,word[:3]:081
9656,-1:word.lower():0812
9657,+1:word.lower():77
9658,word.lower():77
9659,word[-3:]:77
9660,word[:3]:77
9661,word[:2]:77
9662,+1:word.lower():22334
9663,word.lower():22334
9664,word[-3:]:334
9665,word[-2:]:34
9666,word[:3]:223
9667,word[:2]:22
9668,-1:word.lower():77
9669,+1:word.lower():hotrod
9670,word.lower():hotrod
9671,word[-3:]:rod
9672,-1:word.lower():hotrod
9673,+1:word.lower():24jam
9674,word.lower():24jam
9675,word[:3]:24j
9676,+1:word.lower():finger
9677,word.lower():finger
9678,+1:word.lower():ring
9679,word.lower():ring
9680,word[:3]:Rin
9681,-1:word.lower():finger
9682,-1:word.lower():ring
9683,word[:3]:wom
9684,word[:2]:wo
9685,+1:word.lower():equalizer
9686,word.lower():equalizer
9687,word[:3]:Equ
9688,word[:2]:Eq
9689,+1:word.lower():musik
9690,word.lower():musik
9691,word[:3]:mus
9692,-1:word.lower():equalizer
9693,-1:word.lower():musik
9694,+1:word.lower():ideacenter
9695,word.lower():ideacenter
9696,word[:3]:Ide
9697,word[:2]:Id
9698,-1:word.lower():ideacenter
9699,+1:word.lower():510-23ish-ktid
9700,word.lower():510-23ish-ktid
9701,word[-3:]:TID
9702,word[:3]:510
9703,+1:word.lower():ci7-7700t
9704,word.lower():ci7-7700t
9705,word[-3:]:00T
9706,word[-2:]:0T
9707,word[:3]:Ci7
9708,-1:word.lower():510-23ish-ktid
9709,+1:word.lower():4gbd4
9710,word.lower():4gbd4
9711,word[-3:]:BD4
9712,word[-2:]:D4
9713,-1:word.lower():ci7-7700t
9714,word.lower():rak
9715,word[-3:]:Rak
9716,-1:word.lower():rak
9717,+1:word.lower():susun
9718,word.lower():susun
9719,word[-3:]:sun
9720,word.lower():carters
9721,-1:word.lower():carters
9722,+1:word.lower():sheet
9723,word.lower():sheet
9724,word[-3:]:eet
9725,+1:word.lower():perlak
9726,word.lower():perlak
9727,word[-3:]:lak
9728,-1:word.lower():sheet
9729,+1:word.lower():70
9730,word.lower():70
9731,word[-3:]:70
9732,word[-2:]:70
9733,word[:3]:70
9734,word[:2]:70
9735,-1:word.lower():perlak
9736,-1:word.lower():70
9737,+1:word.lower():120cm
9738,word.lower():120cm
9739,word.lower():bendera
9740,+1:word.lower():susu
9741,word.lower():susu
9742,word[-3:]:usu
9743,-1:word.lower():bendera
9744,+1:word.lower():kental
9745,word.lower():kental
9746,-1:word.lower():susu
9747,+1:word.lower():manis
9748,word.lower():manis
9749,-1:word.lower():kental
9750,+1:word.lower():6x42gr
9751,word.lower():6x42gr
9752,word[-3:]:2gr
9753,word[:3]:6x4
9754,word[:2]:6x
9755,-1:word.lower():manis
9756,word.lower():memo
9757,word[-3:]:emo
9758,-1:word.lower():memo
9759,+1:word.lower():berbentuk
9760,word.lower():berbentuk
9761,-1:word.lower():berbentuk
9762,word.lower():zippo
9763,word[-3:]:PPO
9764,word[:3]:ZIP
9765,word[:2]:ZI
9766,-1:word.lower():zippo
9767,+1:word.lower():seri
9768,word.lower():seri
9769,word[-3:]:ERI
9770,+1:word.lower():classic
9771,word.lower():classic
9772,word[-3:]:SIC
9773,-1:word.lower():seri
9774,+1:word.lower():suara
9775,word.lower():suara
9776,word[-3:]:ARA
9777,word[:3]:SUA
9778,-1:word.lower():classic
9779,+1:word.lower():cling
9780,word.lower():cling
9781,word[:3]:CLI
9782,-1:word.lower():suara
9783,-1:word.lower():cling
9784,+1:word.lower():kali
9785,word.lower():kali
9786,word[-3:]:ALI
9787,word[:3]:KAL
9788,word[-3:]:ppy
9789,word[:3]:hap
9790,word[-3:]:dog
9791,word[:3]:dog
9792,+1:word.lower():supreme
9793,word.lower():supreme
9794,word[:3]:sup
9795,-1:word.lower():supreme
9796,+1:word.lower():well
9797,word.lower():well
9798,-1:word.lower():well
9799,+1:word.lower():medium
9800,word.lower():medium
9801,word[:3]:med
9802,-1:word.lower():kg
9803,-1:postag:NND
9804,word[-3:]:ult
9805,word[:3]:adu
9806,word[:2]:ad
9807,-1:word.lower():medium
9808,word.lower():blackberry
9809,word[-3:]:RRY
9810,word[-2:]:RY
9811,+1:word.lower():samoa
9812,word.lower():samoa
9813,word[-3:]:MOA
9814,-1:word.lower():blackberry
9815,+1:word.lower():9720
9816,word.lower():9720
9817,word[-3:]:720
9818,word[-2:]:20
9819,word[:3]:972
9820,-1:word.lower():samoa
9821,+1:word.lower():(grs
9822,word.lower():(grs
9823,word[-3:]:GRS
9824,word[:3]:(GR
9825,-1:word.lower():9720
9826,+1:word.lower():distributor)
9827,word.lower():distributor)
9828,word[-3:]:OR)
9829,word[-2:]:R)
9830,-1:word.lower():(grs
9831,word.lower():forsining
9832,+1:word.lower():rose
9833,word.lower():rose
9834,word[:3]:Ros
9835,-1:word.lower():forsining
9836,-1:word.lower():rose
9837,+1:word.lower():designer
9838,word.lower():designer
9839,+1:word.lower():transparent
9840,word.lower():transparent
9841,-1:word.lower():designer
9842,-1:word.lower():transparent
9843,+1:word.lower():electronic
9844,word.lower():electronic
9845,+1:word.lower():watch</enamex>
9846,word.lower():watch</enamex>
9847,-1:word.lower():electronic
9848,-1:word.lower():watch</enamex>
9849,+1:word.lower():g40-70-4354
9850,word.lower():g40-70-4354
9851,word[-3:]:354
9852,word[-2:]:54
9853,word[:3]:G40
9854,word[:2]:G4
9855,-1:word.lower():g40-70-4354
9856,+1:word.lower():i3
9857,word.lower():i3
9858,word[-3:]:i3
9859,word[-2:]:i3
9860,word[:3]:i3
9861,-1:word.lower():i3
9862,"+1:word.lower():14"""
9863,"word.lower():14"""
9864,"word[-3:]:14"""
9865,"word[:3]:14"""
9866,"-1:word.lower():14"""
9867,+1:word.lower():ultrathin
9868,word.lower():ultrathin
9869,word.lower():cetaphil
9870,word[-3:]:hil
9871,+1:word.lower():restoraderm
9872,word.lower():restoraderm
9873,word[-3:]:erm
9874,-1:word.lower():cetaphil
9875,-1:word.lower():restoraderm
9876,+1:word.lower():moisturizer
9877,word.lower():moisturizer
9878,word[:3]:Moi
9879,-1:word.lower():moisturizer
9880,word[-3:]:Kit
9881,+1:word.lower():29
9882,word.lower():29
9883,word[-3:]:29
9884,word[-2:]:29
9885,word[:3]:29
9886,word[:2]:29
9887,word[-3:]:Ml
9888,word[-2:]:Ml
9889,word[:3]:Ml
9890,word[:2]:Ml
9891,-1:word.lower():29
9892,+1:word.lower():termurah01
9893,word.lower():termurah01
9894,word[-3:]:h01
9895,-1:word.lower():ml
9896,word.lower():pieter
9897,word[:3]:Pie
9898,+1:word.lower():jackson
9899,word.lower():jackson
9900,-1:word.lower():pieter
9901,-1:word.lower():jackson
9902,+1:word.lower():cargo
9903,word.lower():cargo
9904,-1:word.lower():cargo
9905,word.lower():stelan
9906,word[:3]:ste
9907,+1:word.lower():bazzel
9908,word.lower():bazzel
9909,word[:3]:Baz
9910,+1:word.lower():bumper
9911,-1:word.lower():bazzel
9912,word.lower():pulley
9913,+1:word.lower():rd
9914,word.lower():rd
9915,word[-3:]:RD
9916,word[:3]:RD
9917,word[:2]:RD
9918,-1:word.lower():pulley
9919,+1:word.lower():bearing
9920,word.lower():bearing
9921,word[:3]:Bea
9922,-1:word.lower():rd
9923,+1:word.lower():alloy
9924,word.lower():alloy
9925,word[-3:]:loy
9926,word[:3]:all
9927,-1:word.lower():bearing
9928,+1:word.lower():pully
9929,word.lower():pully
9930,word[:3]:pul
9931,-1:word.lower():alloy
9932,+1:word.lower():cnc
9933,word.lower():cnc
9934,word[-3:]:CNC
9935,word[-2:]:NC
9936,word[:3]:CNC
9937,-1:word.lower():pully
9938,word.lower():kerajinan
9939,word[:3]:kay
9940,-1:word.lower():kerajinan
9941,+1:word.lower():jati
9942,word.lower():jati
9943,word[:3]:jat
9944,-1:word.lower():kayu
9945,+1:word.lower():tempat
9946,word[:3]:tem
9947,word[:2]:te
9948,-1:word.lower():jati
9949,word[:3]:aqu
9950,word[:2]:aq
9951,+1:word.lower():gelas
9952,word.lower():gelas
9953,word[-3:]:las
9954,-1:word.lower():gelas
9955,+1:word.lower():itik
9956,word.lower():itik
9957,word[:3]:Iti
9958,word[:2]:It
9959,+1:word.lower():>laki
9960,word.lower():>laki
9961,word[:3]:>La
9962,word[:2]:>L
9963,+1:word.lower():slip
9964,word.lower():slip
9965,-1:word.lower():>laki
9966,word[-3:]:On
9967,word[-2:]:On
9968,word[:3]:On
9969,-1:word.lower():slip
9970,+1:word.lower():31
9971,word.lower():31
9972,word[-3:]:31
9973,word[-2:]:31
9974,word[:3]:31
9975,+1:word.lower():35
9976,word.lower():35
9977,word[-3:]:35
9978,word[-2:]:35
9979,word[:3]:35
9980,-1:word.lower():31
9981,word.lower():fisheye
9982,-1:word.lower():fisheye
9983,word[-3:]:UAL
9984,word[:3]:JUA
9985,word[:2]:JU
9986,+1:word.lower():outer
9987,word.lower():outer
9988,word[:3]:out
9989,word[:2]:ou
9990,word.lower():huawei
9991,word[-3:]:wei
9992,word[:3]:Hua
9993,+1:word.lower():mifi
9994,word.lower():mifi
9995,word[:3]:Mif
9996,-1:word.lower():huawei
9997,+1:word.lower():e5673
9998,word.lower():e5673
9999,word[-3:]:673
10000,word[-2:]:73
10001,word[:3]:E56
10002,word[:2]:E5
10003,-1:word.lower():mifi
10004,+1:word.lower():bypass
10005,word.lower():bypass
10006,word[:3]:BYP
10007,word[:2]:BY
10008,-1:word.lower():e5673
10009,word[:3]:Fre
10010,-1:word.lower():bypass
10011,+1:word.lower():tsel
10012,word.lower():tsel
10013,word[:3]:Tse
10014,+1:word.lower():14gb
10015,word.lower():14gb
10016,word[-3:]:4Gb
10017,word[:3]:14G
10018,-1:word.lower():tsel
10019,+1:word.lower():unlocked
10020,word.lower():unlocked
10021,word[-3:]:ked
10022,word[:3]:Unl
10023,-1:word.lower():14gb
10024,-1:word.lower():unlocked
10025,+1:word.lower():aluminum
10026,word.lower():aluminum
10027,word[-3:]:NUM
10028,word[:3]:ALU
10029,word[-3:]:LOY
10030,word[-2:]:OY
10031,word[:3]:ALL
10032,-1:word.lower():aluminum
10033,word[-3:]:TAL
10034,word[:3]:MET
10035,word[-3:]:ASE
10036,+1:word.lower():-buckle
10037,word.lower():-buckle
10038,word[-3:]:KLE
10039,word[:3]:-BU
10040,word[:2]:-B
10041,word[-3:]:YLE
10042,word[:3]:STY
10043,-1:word.lower():-buckle
10044,word.lower():gaya
10045,word[:3]:Gay
10046,+1:word.lower():sederhana
10047,word.lower():sederhana
10048,word[:3]:sed
10049,-1:word.lower():gaya
10050,+1:word.lower():nilon
10051,word.lower():nilon
10052,word[:3]:nil
10053,word[:2]:ni
10054,-1:word.lower():sederhana
10055,word[:3]:tah
10056,-1:word.lower():nilon
10057,word[-3:]:UDE
10058,word[:3]:ETU
10059,word[:2]:ET
10060,word[-3:]:USE
10061,word[:3]:HOU
10062,+1:word.lower():nutrifull
10063,word.lower():nutrifull
10064,+1:word.lower():shea
10065,word.lower():shea
10066,word[-3:]:hea
10067,-1:word.lower():nutrifull
10068,+1:word.lower():butter
10069,word.lower():butter
10070,-1:word.lower():shea
10071,+1:word.lower():sleeping
10072,word.lower():sleeping
10073,-1:word.lower():butter
10074,-1:word.lower():sleeping
10075,+1:word.lower():100ml
10076,word.lower():100ml
10077,+1:word.lower():xiaomi
10078,word[-3:]:oMi
10079,word[-2:]:Mi
10080,word[:3]:Xia
10081,word[:2]:Xi
10082,+1:word.lower():mipad
10083,word.lower():mipad
10084,word[:3]:MiP
10085,+1:word.lower():7.9
10086,word.lower():7.9
10087,word[-3:]:7.9
10088,word[:3]:7.9
10089,word[:2]:7.
10090,-1:word.lower():mipad
10091,+1:word.lower():deluxe
10092,word.lower():deluxe
10093,word[-3:]:uxe
10094,word[-2:]:xe
10095,-1:word.lower():7.9
10096,+1:word.lower():xp79056
10097,word.lower():xp79056
10098,word[-3:]:056
10099,word[-2:]:56
10100,word[:3]:XP7
10101,word[:2]:XP
10102,-1:word.lower():deluxe
10103,word.lower():pipa
10104,word[-3:]:ipa
10105,word[:3]:pip
10106,word[:2]:pi
10107,+1:word.lower():ppr
10108,word.lower():ppr
10109,word[-3:]:ppr
10110,word[-2:]:pr
10111,word[:3]:ppr
10112,word[:2]:pp
10113,-1:word.lower():pipa
10114,-1:word.lower():ppr
10115,+1:word.lower():fitting
10116,word.lower():fitting
10117,-1:word.lower():fitting
10118,+1:word.lower():era
10119,word.lower():era
10120,word[:3]:era
10121,word[:2]:er
10122,+1:word.lower():lengkap
10123,word.lower():lengkap
10124,-1:word.lower():era
10125,word.lower():m-tech
10126,word[:3]:M-T
10127,word[:2]:M-
10128,+1:word.lower():gamepad
10129,word.lower():gamepad
10130,-1:word.lower():m-tech
10131,-1:word.lower():gamepad
10132,+1:word.lower():turbo
10133,word.lower():turbo
10134,word[-3:]:rbo
10135,word[-2:]:bo
10136,+1:word.lower():single
10137,word.lower():single
10138,-1:word.lower():turbo
10139,-1:word.lower():single
10140,word[-3:]:SIN
10141,word[:3]:MES
10142,+1:word.lower():jogger
10143,word.lower():jogger
10144,word[:3]:Jog
10145,+1:word.lower():xplore
10146,word.lower():xplore
10147,word[:3]:Xpl
10148,word[:2]:Xp
10149,-1:word.lower():jogger
10150,+1:word.lower():k-box
10151,word.lower():k-box
10152,word[-3:]:BOX
10153,word[-2:]:OX
10154,word[:3]:K-B
10155,word[:2]:K-
10156,word[:3]:FAS
10157,+1:word.lower():metalik
10158,word.lower():metalik
10159,word[-3:]:LIK
10160,word[-2:]:IK
10161,-1:word.lower():metalik
10162,+1:word.lower():jkt
10163,word.lower():jkt
10164,word[-3:]:JKT
10165,word[-2:]:KT
10166,word[:3]:JKT
10167,word[:2]:JK
10168,+1:word.lower():384
10169,word.lower():384
10170,word[-3:]:384
10171,word[:3]:384
10172,-1:word.lower():jkt
10173,word.lower():avt
