word,word[-3],word[-2],word.isdigit,pos,all-ascii,next-word,next-word[-3],next-word[-2],next-word.isdigit,next-pos,next-next-word,next-next-word[-3],next-next-word[-2],next-next-word.isdigit,nextnextpos,prev-word,prev-word[-3],prev-word[-2],prev-word.isdigit,prev-pos,prev-prev-word,prev-prev-word[-3],prev-prev-word[-2],prev-prev-word.isdigit,prev-prev-pos,prev-iob,all-caps,capitalized,prev-all-caps,prev-capitalized,next-all-caps,next-capitalized,label
A315,315,15,False,CD,True,41,41,41,True,CD,AMD,AMD,MD,False,NNP,3,3,3,True,CD,Aspire,ire,re,False,NNP,I-BRAND,True,True,True,False,True,False,B-NAME
41,41,41,True,CD,True,AMD,AMD,MD,False,NNP,Ryzen,zen,en,False,NNP,A315,315,15,False,CD,3,3,3,True,CD,B-NAME,True,False,True,True,True,True,O
AMD,AMD,MD,False,NNP,True,Ryzen,zen,en,False,NNP,Ryzen,zen,en,False,NNP,41,41,41,True,CD,A315,315,15,False,CD,O,False,True,True,False,True,False,B-BRAND
Ryzen,zen,en,False,NNP,True,Ryzen,zen,en,False,NNP,3,3,3,True,CD,AMD,AMD,MD,False,NNP,41,41,41,True,CD,B-BRAND,True,True,False,True,False,True,I-BRAND
Ryzen,zen,en,False,NNP,True,3,3,3,True,CD,2200U,00U,0U,False,CD,Ryzen,zen,en,False,NNP,AMD,AMD,MD,False,NNP,I-BRAND,True,True,True,True,True,True,B-PROCESSOR
3,3,3,True,CD,True,2200U,00U,0U,False,CD,RAM,RAM,AM,False,NN,Ryzen,zen,en,False,NNP,Ryzen,zen,en,False,NNP,B-PROCESSOR,True,False,True,True,True,True,I-PROCESSOR
2200U,00U,0U,False,CD,True,RAM,RAM,AM,False,NN,4GB,4GB,GB,False,CD,3,3,3,True,CD,Ryzen,zen,en,False,NNP,I-PROCESSOR,False,False,True,False,True,False,B-NAME
RAM,RAM,AM,False,NN,True,4GB,4GB,GB,False,CD,1TB,1TB,TB,False,CD,2200U,00U,0U,False,CD,3,3,3,True,CD,B-NAME,False,True,False,False,False,False,B-RAM
4GB,4GB,GB,False,CD,True,1TB,1TB,TB,False,CD,W10,W10,10,False,NNP,RAM,RAM,AM,False,NN,2200U,00U,0U,False,CD,B-RAM,False,False,False,True,False,True,I-RAM
1TB,1TB,TB,False,CD,True,W10,W10,10,False,NNP,Black,ack,ck,False,NNP,4GB,4GB,GB,False,CD,RAM,RAM,AM,False,NN,I-RAM,False,False,False,False,False,False,B-CAPACITY
W10,W10,10,False,NNP,True,Black,ack,ck,False,NNP,Laptop,top,op,False,NNP,1TB,1TB,TB,False,CD,4GB,4GB,GB,False,CD,B-CAPACITY,True,True,False,False,False,False,B-OS
Black,ack,ck,False,NNP,True,Laptop,top,op,False,NNP,Murah,rah,ah,False,NNP,W10,W10,10,False,NNP,1TB,1TB,TB,False,CD,B-OS,True,True,True,True,True,True,B-OS
Laptop,top,op,False,NNP,True,Murah,rah,ah,False,NNP,Gratis,tis,is,False,NNP,Black,ack,ck,False,NNP,W10,W10,10,False,NNP,B-OS,True,True,True,True,True,True,B-TYPE
Murah,rah,ah,False,NNP,True,Gratis,tis,is,False,NNP,Tas,Tas,as,False,NNP,Laptop,top,op,False,NNP,Black,ack,ck,False,NNP,B-TYPE,True,True,True,True,True,True,O
Gratis,tis,is,False,NNP,True,Tas,Tas,as,False,NNP,Bergaransi,nsi,si,False,NNP,Murah,rah,ah,False,NNP,Laptop,top,op,False,NNP,O,True,True,True,True,True,True,O
Tas,Tas,as,False,NNP,True,Bergaransi,nsi,si,False,NNP,[END1],[END1],[END1],False,[END1],Gratis,tis,is,False,NNP,Murah,rah,ah,False,NNP,O,True,True,True,True,True,True,O
Bergaransi,nsi,si,False,NNP,True,[END1],[END1],[END1],False,[END1],[END2],[END2],[END2],False,[END2],Tas,Tas,as,False,NNP,Gratis,tis,is,False,NNP,O,True,True,True,True,True,True,O
Promo,omo,mo,False,NNP,True,Notebook,ook,ok,False,NNP,Baru,aru,ru,False,NNP,[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],True,True,False,False,False,False,O
Notebook,ook,ok,False,NNP,True,Baru,aru,ru,False,NNP,HP,HP,HP,False,NNP,Promo,omo,mo,False,NNP,[START1],[START1],[START1],False,[START1],O,True,True,True,True,True,True,B-TYPE
Baru,aru,ru,False,NNP,True,HP,HP,HP,False,NNP,15,15,15,True,CD,Notebook,ook,ok,False,NNP,Promo,omo,mo,False,NNP,B-TYPE,True,True,True,True,True,True,O
HP,HP,HP,False,NNP,True,15,15,15,True,CD,DB0005AU,5AU,AU,False,NNP,Baru,aru,ru,False,NNP,Notebook,ook,ok,False,NNP,O,False,True,True,True,True,True,B-BRAND
15,15,15,True,CD,True,DB0005AU,5AU,AU,False,NNP,AMD,AMD,MD,False,NNP,HP,HP,HP,False,NNP,Baru,aru,ru,False,NNP,B-BRAND,True,False,False,True,False,True,B-TYPE
DB0005AU,5AU,AU,False,NNP,True,AMD,AMD,MD,False,NNP,Dual,ual,al,False,NNP,15,15,15,True,CD,HP,HP,HP,False,NNP,B-TYPE,False,True,True,False,True,False,I-TYPE
AMD,AMD,MD,False,NNP,True,Dual,ual,al,False,NNP,Core,ore,re,False,NNP,DB0005AU,5AU,AU,False,NNP,15,15,15,True,CD,I-TYPE,False,True,False,True,False,True,B-TYPE
Dual,ual,al,False,NNP,True,Core,ore,re,False,NNP,E2,E2,E2,False,NNP,AMD,AMD,MD,False,NNP,DB0005AU,5AU,AU,False,NNP,B-TYPE,True,True,False,True,False,True,I-TYPE
Core,ore,re,False,NNP,True,E2,E2,E2,False,NNP,9000e,00e,0e,False,CD,Dual,ual,al,False,NNP,AMD,AMD,MD,False,NNP,I-TYPE,True,True,True,True,True,True,I-TYPE
E2,E2,E2,False,NNP,True,9000e,00e,0e,False,CD,4GB,4GB,GB,False,CD,Core,ore,re,False,NNP,Dual,ual,al,False,NNP,I-TYPE,True,True,True,True,True,True,I-TYPE
9000e,00e,0e,False,CD,True,4GB,4GB,GB,False,CD,DDR4,DR4,R4,False,CD,E2,E2,E2,False,NNP,Core,ore,re,False,NNP,I-TYPE,True,False,True,True,True,True,I-TYPE
4GB,4GB,GB,False,CD,True,DDR4,DR4,R4,False,CD,500,500,00,True,CD,9000e,00e,0e,False,CD,E2,E2,E2,False,NNP,I-TYPE,False,False,True,False,True,False,B-RAM
DDR4,DR4,R4,False,CD,True,500,500,00,True,CD,GB,GB,GB,False,NNP,4GB,4GB,GB,False,CD,9000e,00e,0e,False,CD,B-RAM,False,True,False,False,False,False,I-RAM
500,500,00,True,CD,True,GB,GB,GB,False,NNP,AMD,AMD,MD,False,NNP,DDR4,DR4,R4,False,CD,4GB,4GB,GB,False,CD,I-RAM,True,False,False,True,False,True,B-CAPACITY
GB,GB,GB,False,NNP,True,AMD,AMD,MD,False,NNP,Radeon,eon,on,False,NNP,500,500,00,True,CD,DDR4,DR4,R4,False,CD,B-CAPACITY,False,True,True,False,True,False,I-CAPACITY
AMD,AMD,MD,False,NNP,True,Radeon,eon,on,False,NNP,R2,R2,R2,False,NNP,GB,GB,GB,False,NNP,500,500,00,True,CD,I-CAPACITY,False,True,False,True,False,True,B-BRAND
Radeon,eon,on,False,NNP,True,R2,R2,R2,False,NNP,Graphics,ics,cs,False,NNP,AMD,AMD,MD,False,NNP,GB,GB,GB,False,NNP,B-BRAND,True,True,False,True,False,True,I-BRAND
R2,R2,R2,False,NNP,True,Graphics,ics,cs,False,NNP,15.6,5.6,.6,False,NNP,Radeon,eon,on,False,NNP,AMD,AMD,MD,False,NNP,I-BRAND,True,True,True,True,True,True,O
Graphics,ics,cs,False,NNP,True,15.6,5.6,.6,False,NNP,W10,W10,10,False,NNP,R2,R2,R2,False,NNP,Radeon,eon,on,False,NNP,O,True,True,True,True,True,True,O
15.6,5.6,.6,False,NNP,True,W10,W10,10,False,NNP,Black,ack,ck,False,NNP,Graphics,ics,cs,False,NNP,R2,R2,R2,False,NNP,O,True,False,True,True,True,True,O
W10,W10,10,False,NNP,True,Black,ack,ck,False,NNP,Laptop,top,op,False,NNP,15.6,5.6,.6,False,NNP,Graphics,ics,cs,False,NNP,O,True,True,True,False,True,False,B-OS
Black,ack,ck,False,NNP,True,Laptop,top,op,False,NNP,Murah,rah,ah,False,NNP,W10,W10,10,False,NNP,15.6,5.6,.6,False,NNP,B-OS,True,True,True,True,True,True,B-COLOR
Laptop,top,op,False,NNP,True,Murah,rah,ah,False,NNP,(Gratis,tis,is,False,NNP,Black,ack,ck,False,NNP,W10,W10,10,False,NNP,B-COLOR,True,True,True,True,True,True,O
Murah,rah,ah,False,NNP,True,(Gratis,tis,is,False,NNP,Tas),as),s),False,NNP,Laptop,top,op,False,NNP,Black,ack,ck,False,NNP,O,True,True,True,True,True,True,O
(Gratis,tis,is,False,NNP,True,Tas),as),s),False,NNP,Bergaransi,nsi,si,False,NNP,Murah,rah,ah,False,NNP,Laptop,top,op,False,NNP,O,False,False,True,True,True,True,O
Tas),as),s),False,NNP,True,Bergaransi,nsi,si,False,NNP,[END1],[END1],[END1],False,[END1],(Gratis,tis,is,False,NNP,Murah,rah,ah,False,NNP,O,True,True,False,False,False,False,O
Bergaransi,nsi,si,False,NNP,True,[END1],[END1],[END1],False,[END1],[END2],[END2],[END2],False,[END2],Tas),as),s),False,NNP,(Gratis,tis,is,False,NNP,O,True,True,True,True,True,True,O
Makita,ita,ta,False,NNP,True,EBH,EBH,BH,False,NNP,340,340,40,True,NNP,[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],True,True,False,False,False,False,B-BRAND
EBH,EBH,BH,False,NNP,True,340,340,40,True,NNP,R,R,R,False,NNP,Makita,ita,ta,False,NNP,[START1],[START1],[START1],False,[START1],B-BRAND,False,True,True,True,True,True,B-NAME
340,340,40,True,NNP,True,R,R,R,False,NNP,Mesin,sin,in,False,NNP,EBH,EBH,BH,False,NNP,Makita,ita,ta,False,NNP,B-NAME,True,False,False,True,False,True,I-NAME
R,R,R,False,NNP,True,Mesin,sin,in,False,NNP,Potong,ong,ng,False,NNP,340,340,40,True,NNP,EBH,EBH,BH,False,NNP,I-NAME,True,True,True,False,True,False,I-NAME
Mesin,sin,in,False,NNP,True,Potong,ong,ng,False,NNP,Rumput,put,ut,False,NNP,R,R,R,False,NNP,340,340,40,True,NNP,I-NAME,True,True,True,True,True,True,B-TYPE
Potong,ong,ng,False,NNP,True,Rumput,put,ut,False,NNP,Brush,ush,sh,False,NNP,Mesin,sin,in,False,NNP,R,R,R,False,NNP,B-TYPE,True,True,True,True,True,True,I-TYPE
Rumput,put,ut,False,NNP,True,Brush,ush,sh,False,NNP,Cutter,ter,er,False,NNP,Potong,ong,ng,False,NNP,Mesin,sin,in,False,NNP,I-TYPE,True,True,True,True,True,True,I-TYPE
Brush,ush,sh,False,NNP,True,Cutter,ter,er,False,NNP,4,4,4,True,CD,Rumput,put,ut,False,NNP,Potong,ong,ng,False,NNP,I-TYPE,True,True,True,True,True,True,B-NAME
Cutter,ter,er,False,NNP,True,4,4,4,True,CD,Tak,Tak,ak,False,NNP,Brush,ush,sh,False,NNP,Rumput,put,ut,False,NNP,B-NAME,True,True,True,True,True,True,I-NAME
4,4,4,True,CD,True,Tak,Tak,ak,False,NNP,Made,ade,de,False,NNP,Cutter,ter,er,False,NNP,Brush,ush,sh,False,NNP,I-NAME,True,False,True,True,True,True,I-NAME
Tak,Tak,ak,False,NNP,True,Made,ade,de,False,NNP,In,In,In,False,NNP,4,4,4,True,CD,Cutter,ter,er,False,NNP,I-NAME,True,True,True,False,True,False,I-NAME
Made,ade,de,False,NNP,True,In,In,In,False,NNP,JAPAN,PAN,AN,False,NNP,Tak,Tak,ak,False,NNP,4,4,4,True,CD,I-NAME,True,True,True,True,True,True,O
In,In,In,False,NNP,True,JAPAN,PAN,AN,False,NNP,[END1],[END1],[END1],False,[END1],Made,ade,de,False,NNP,Tak,Tak,ak,False,NNP,O,True,True,True,True,True,True,O
JAPAN,PAN,AN,False,NNP,True,[END1],[END1],[END1],False,[END1],[END2],[END2],[END2],False,[END2],In,In,In,False,NNP,Made,ade,de,False,NNP,O,False,True,True,True,True,True,O
knalpot,pot,ot,False,FW,True,termignoni,oni,ni,False,FW,jupiter,ter,er,False,FW,[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],False,False,False,False,False,False,B-TYPE
termignoni,oni,ni,False,FW,True,jupiter,ter,er,False,FW,z,z,z,False,FW,knalpot,pot,ot,False,FW,[START1],[START1],[START1],False,[START1],B-TYPE,False,False,False,False,False,False,B-BRAND
jupiter,ter,er,False,FW,True,z,z,z,False,FW,mx135,135,35,False,CD,termignoni,oni,ni,False,FW,knalpot,pot,ot,False,FW,B-BRAND,False,False,False,False,False,False,B-BRAND
z,z,z,False,FW,True,mx135,135,35,False,CD,dan,dan,an,False,CC,jupiter,ter,er,False,FW,termignoni,oni,ni,False,FW,B-BRAND,False,False,False,False,False,False,I-BRAND
mx135,135,35,False,CD,True,dan,dan,an,False,CC,mx,mx,mx,False,FW,z,z,z,False,FW,jupiter,ter,er,False,FW,I-BRAND,False,False,False,False,False,False,B-BRAND
dan,dan,an,False,CC,True,mx,mx,mx,False,FW,king,ing,ng,False,FW,mx135,135,35,False,CD,z,z,z,False,FW,B-BRAND,False,False,False,False,False,False,O
mx,mx,mx,False,FW,True,king,ing,ng,False,FW,[END1],[END1],[END1],False,[END1],dan,dan,an,False,CC,mx135,135,35,False,CD,O,False,False,False,False,False,False,B-BRAND
king,ing,ng,False,FW,True,[END1],[END1],[END1],False,[END1],[END2],[END2],[END2],False,[END2],mx,mx,mx,False,FW,dan,dan,an,False,CC,B-BRAND,False,False,False,False,False,False,I-BRAND
f0-set,set,et,False,CD,True,choco,oco,co,False,NN,girl,irl,rl,False,NN,[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],False,False,False,False,False,False,O
choco,oco,co,False,NN,True,girl,irl,rl,False,NN,3-5thn,thn,hn,False,CD,f0-set,set,et,False,CD,[START1],[START1],[START1],False,[START1],O,False,False,False,False,False,False,B-THEME
girl,irl,rl,False,NN,True,3-5thn,thn,hn,False,CD,[END1],[END1],[END1],False,[END1],choco,oco,co,False,NN,f0-set,set,et,False,CD,B-THEME,False,False,False,False,False,False,I-THEME
3-5thn,thn,hn,False,CD,True,[END1],[END1],[END1],False,[END1],[END2],[END2],[END2],False,[END2],girl,irl,rl,False,NN,choco,oco,co,False,NN,I-THEME,True,False,False,False,False,False,B-AGE
Geil,eil,il,False,NNP,True,Evo,Evo,vo,False,NNP,X,X,X,False,NNP,[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],True,True,False,False,False,False,B-BRAND
Evo,Evo,vo,False,NNP,True,X,X,X,False,NNP,Rgb,Rgb,gb,False,NNP,Geil,eil,il,False,NNP,[START1],[START1],[START1],False,[START1],B-BRAND,True,True,True,True,True,True,B-NAME
X,X,X,False,NNP,True,Rgb,Rgb,gb,False,NNP,Led,Led,ed,False,NNP,Evo,Evo,vo,False,NNP,Geil,eil,il,False,NNP,B-NAME,True,True,True,True,True,True,I-NAME
Rgb,Rgb,gb,False,NNP,True,Led,Led,ed,False,NNP,2x4gb,4gb,gb,False,NNP,X,X,X,False,NNP,Evo,Evo,vo,False,NNP,I-NAME,True,True,True,True,True,True,B-TYPE
Led,Led,ed,False,NNP,True,2x4gb,4gb,gb,False,NNP,Ddr4,dr4,r4,False,NNP,Rgb,Rgb,gb,False,NNP,X,X,X,False,NNP,B-TYPE,True,True,True,True,True,True,I-TYPE
2x4gb,4gb,gb,False,NNP,True,Ddr4,dr4,r4,False,NNP,Pc19200,200,00,False,NNP,Led,Led,ed,False,NNP,Rgb,Rgb,gb,False,NNP,I-TYPE,True,False,True,True,True,True,I-TYPE
Ddr4,dr4,r4,False,NNP,True,Pc19200,200,00,False,NNP,White,ite,te,False,NNP,2x4gb,4gb,gb,False,NNP,Led,Led,ed,False,NNP,I-TYPE,True,True,True,False,True,False,I-TYPE
Pc19200,200,00,False,NNP,True,White,ite,te,False,NNP,Gexw48gb2400c16dc,6dc,dc,False,NNP,Ddr4,dr4,r4,False,NNP,2x4gb,4gb,gb,False,NNP,I-TYPE,True,True,True,True,True,True,I-TYPE
White,ite,te,False,NNP,True,Gexw48gb2400c16dc,6dc,dc,False,NNP,[END1],[END1],[END1],False,[END1],Pc19200,200,00,False,NNP,Ddr4,dr4,r4,False,NNP,I-TYPE,True,True,True,True,True,True,B-COLOR
Gexw48gb2400c16dc,6dc,dc,False,NNP,True,[END1],[END1],[END1],False,[END1],[END2],[END2],[END2],False,[END2],White,ite,te,False,NNP,Pc19200,200,00,False,NNP,B-COLOR,True,True,True,True,True,True,B-TYPE
Yonex,nex,ex,False,NNP,True,Duora,ora,ra,False,NNP,10,10,10,True,CD,[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],True,True,False,False,False,False,B-BRAND
Duora,ora,ra,False,NNP,True,10,10,10,True,CD,Raket,ket,et,False,NNP,Yonex,nex,ex,False,NNP,[START1],[START1],[START1],False,[START1],B-BRAND,True,True,True,True,True,True,B-NAME
10,10,10,True,CD,True,Raket,ket,et,False,NNP,Badminton,ton,on,False,NNP,Duora,ora,ra,False,NNP,Yonex,nex,ex,False,NNP,B-NAME,True,False,True,True,True,True,I-NAME
Raket,ket,et,False,NNP,True,Badminton,ton,on,False,NNP,Explosive,ive,ve,False,NNP,10,10,10,True,CD,Duora,ora,ra,False,NNP,I-NAME,True,True,True,False,True,False,B-TYPE
Badminton,ton,on,False,NNP,True,Explosive,ive,ve,False,NNP,Series,ies,es,False,NNP,Raket,ket,et,False,NNP,10,10,10,True,CD,B-TYPE,True,True,True,True,True,True,I-TYPE
Explosive,ive,ve,False,NNP,True,Series,ies,es,False,NNP,[END1],[END1],[END1],False,[END1],Badminton,ton,on,False,NNP,Raket,ket,et,False,NNP,I-TYPE,True,True,True,True,True,True,B-NAME
Series,ies,es,False,NNP,True,[END1],[END1],[END1],False,[END1],[END2],[END2],[END2],False,[END2],Explosive,ive,ve,False,NNP,Badminton,ton,on,False,NNP,B-NAME,True,True,True,True,True,True,I-NAME
Beautylover,ver,er,False,NNP,True,Cami,ami,mi,False,NNP,Hot,Hot,ot,False,NNP,[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],True,True,False,False,False,False,B-BRAND
Cami,ami,mi,False,NNP,True,Hot,Hot,ot,False,NNP,Shaper,per,er,False,NNP,Beautylover,ver,er,False,NNP,[START1],[START1],[START1],False,[START1],B-BRAND,True,True,True,True,True,True,B-TYPE
Hot,Hot,ot,False,NNP,True,Shaper,per,er,False,NNP,Slimming,ing,ng,False,NNP,Cami,ami,mi,False,NNP,Beautylover,ver,er,False,NNP,B-TYPE,True,True,True,True,True,True,I-TYPE
Shaper,per,er,False,NNP,True,Slimming,ing,ng,False,NNP,Pembakar,kar,ar,False,NNP,Hot,Hot,ot,False,NNP,Cami,ami,mi,False,NNP,I-TYPE,True,True,True,True,True,True,I-TYPE
Slimming,ing,ng,False,NNP,True,Pembakar,kar,ar,False,NNP,Lemak,mak,ak,False,NNP,Shaper,per,er,False,NNP,Hot,Hot,ot,False,NNP,I-TYPE,True,True,True,True,True,True,I-TYPE
Pembakar,kar,ar,False,NNP,True,Lemak,mak,ak,False,NNP,[END1],[END1],[END1],False,[END1],Slimming,ing,ng,False,NNP,Shaper,per,er,False,NNP,I-TYPE,True,True,True,True,True,True,B-TYPE
Lemak,mak,ak,False,NNP,True,[END1],[END1],[END1],False,[END1],[END2],[END2],[END2],False,[END2],Pembakar,kar,ar,False,NNP,Slimming,ing,ng,False,NNP,B-TYPE,True,True,True,True,True,True,I-TYPE
Polo,olo,lo,False,NNP,True,shirt,irt,rt,False,VB,for,for,or,False,NN,[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],True,True,False,False,False,False,B-TYPE
shirt,irt,rt,False,VB,True,for,for,or,False,NN,men,men,en,False,NN,Polo,olo,lo,False,NNP,[START1],[START1],[START1],False,[START1],B-TYPE,False,False,True,True,True,True,I-TYPE
for,for,or,False,NN,True,men,men,en,False,NN,19,19,19,True,CD,shirt,irt,rt,False,VB,Polo,olo,lo,False,NNP,I-TYPE,False,False,False,False,False,False,O
men,men,en,False,NN,True,19,19,19,True,CD,colors,ors,rs,False,FW,for,for,or,False,NN,shirt,irt,rt,False,VB,O,False,False,False,False,False,False,B-GENDER
19,19,19,True,CD,True,colors,ors,rs,False,FW,size,ize,ze,False,FW,men,men,en,False,NN,for,for,or,False,NN,B-GENDER,True,False,False,False,False,False,O
colors,ors,rs,False,FW,True,size,ize,ze,False,FW,S-XL,-XL,XL,False,FW,19,19,19,True,CD,men,men,en,False,NN,O,False,False,True,False,True,False,O
size,ize,ze,False,FW,True,S-XL,-XL,XL,False,FW,[END1],[END1],[END1],False,[END1],colors,ors,rs,False,FW,19,19,19,True,CD,O,False,False,False,False,False,False,O
S-XL,-XL,XL,False,FW,True,[END1],[END1],[END1],False,[END1],[END2],[END2],[END2],False,[END2],size,ize,ze,False,FW,colors,ors,rs,False,FW,O,False,True,False,False,False,False,B-SIZE
Cetakan,kan,an,False,VB,True,Agar/puding,ing,ng,False,NNP,Tunggal,gal,al,False,NNP,[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],True,True,False,False,False,False,B-TYPE
Agar/puding,ing,ng,False,NNP,True,Tunggal,gal,al,False,NNP,Lion,ion,on,False,NNP,Cetakan,kan,an,False,VB,[START1],[START1],[START1],False,[START1],B-TYPE,True,True,True,True,True,True,I-TYPE
Tunggal,gal,al,False,NNP,True,Lion,ion,on,False,NNP,[END1],[END1],[END1],False,[END1],Agar/puding,ing,ng,False,NNP,Cetakan,kan,an,False,VB,I-TYPE,True,True,True,True,True,True,O
Lion,ion,on,False,NNP,True,[END1],[END1],[END1],False,[END1],[END2],[END2],[END2],False,[END2],Tunggal,gal,al,False,NNP,Agar/puding,ing,ng,False,NNP,O,True,True,True,True,True,True,B-SHAPE
Kualitas,tas,as,False,NN,True,profesional,nal,al,False,JJ,A3,A3,A3,False,CD,[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],True,True,False,False,False,False,O
profesional,nal,al,False,JJ,True,A3,A3,A3,False,CD,papan,pan,an,False,NN,Kualitas,tas,as,False,NN,[START1],[START1],[START1],False,[START1],O,False,False,True,True,True,True,O
A3,A3,A3,False,CD,True,papan,pan,an,False,NN,gambar,bar,ar,False,NN,profesional,nal,al,False,JJ,Kualitas,tas,as,False,NN,O,True,True,False,False,False,False,O
papan,pan,an,False,NN,True,gambar,bar,ar,False,NN,meja,eja,ja,False,NN,A3,A3,A3,False,CD,profesional,nal,al,False,JJ,O,False,False,True,True,True,True,B-TYPE
gambar,bar,ar,False,NN,True,meja,eja,ja,False,NN,dengan,gan,an,False,IN,papan,pan,an,False,NN,A3,A3,A3,False,CD,B-TYPE,False,False,False,False,False,False,I-TYPE
meja,eja,ja,False,NN,True,dengan,gan,an,False,IN,gerak,rak,ak,False,NN,gambar,bar,ar,False,NN,papan,pan,an,False,NN,I-TYPE,False,False,False,False,False,False,I-TYPE
dengan,gan,an,False,IN,True,gerak,rak,ak,False,NN,paralel,lel,el,False,JJ,meja,eja,ja,False,NN,gambar,bar,ar,False,NN,I-TYPE,False,False,False,False,False,False,O
gerak,rak,ak,False,NN,True,paralel,lel,el,False,JJ,disesuaikan,kan,an,False,VB,dengan,gan,an,False,IN,meja,eja,ja,False,NN,O,False,False,False,False,False,False,O
paralel,lel,el,False,JJ,True,disesuaikan,kan,an,False,VB,sudut,dut,ut,False,NN,gerak,rak,ak,False,NN,dengan,gan,an,False,IN,O,False,False,False,False,False,False,O
disesuaikan,kan,an,False,VB,True,sudut,dut,ut,False,NN,kantor,tor,or,False,NN,paralel,lel,el,False,JJ,gerak,rak,ak,False,NN,O,False,False,False,False,False,False,O
sudut,dut,ut,False,NN,True,kantor,tor,or,False,NN,International,nal,al,False,NNP,disesuaikan,kan,an,False,VB,paralel,lel,el,False,JJ,O,False,False,False,False,False,False,O
kantor,tor,or,False,NN,True,International,nal,al,False,NNP,[END1],[END1],[END1],False,[END1],sudut,dut,ut,False,NN,disesuaikan,kan,an,False,VB,O,False,False,False,False,False,False,O
International,nal,al,False,NNP,True,[END1],[END1],[END1],False,[END1],[END2],[END2],[END2],False,[END2],kantor,tor,or,False,NN,sudut,dut,ut,False,NN,O,True,True,False,False,False,False,O
Jam,Jam,am,False,NNP,True,Tangan,gan,an,False,NNP,Pria,ria,ia,False,NNP,[START1],[START1],[START1],False,[START1],[START2],[START2],[START2],False,[START2],[START1],True,True,False,False,False,False,B-TYPE
Tangan,gan,an,False,NNP,True,Pria,ria,ia,False,NNP,Sporty,rty,ty,False,NNP,Jam,Jam,am,False,NNP,[START1],[START1],[START1],False,[START1],B-TYPE,True,True,True,True,True,True,I-TYPE
