bias,word.lower(),word.isupper(),word.istitle(),word.isdigit(),hasNumber,word[-3:],word[:3],stopword,postag,BOS,-1:word.lower(),-1:word.istitle(),-1:word.isupper(),-1:word.isdigit(),-1:hasNumber,-1:stopword,-1:postag,+1:word.lower(),+1:word.istitle(),+1:word.isupper(),+1:word.isdigit(),+1:hasNumber,+1:stopword,+1:postag,EOS,label
1.0,formal,True,False,False,False,MAL,FOR,False,NNP,kemeja,False,True,False,False,False,NNP,False,True,None,None,None,None,None,None,None,I-TYPE
1.0,tablet,False,True,False,False,let,Tab,False,NNP,True,None,None,None,None,None,None,None,asus,False,True,False,False,False,NNP,False,B-TYPE
1.0,asus,True,False,False,False,SUS,ASU,False,NNP,tablet,True,False,False,False,False,NNP,False,4gb,False,True,False,True,False,CD,False,B-BRAND
1.0,4gb,True,False,False,True,4GB,4GB,False,CD,asus,False,True,False,False,False,NNP,False,True,None,None,None,None,None,None,None,B-RAM
1.0,promo,False,True,False,False,omo,Pro,False,NNP,True,None,None,None,None,None,None,None,notebook,True,False,False,False,False,NNP,False,O
1.0,notebook,False,True,False,False,ook,Not,False,NNP,promo,True,False,False,False,False,NNP,False,baru,True,False,False,False,False,NNP,False,B-TYPE
1.0,baru,False,True,False,False,aru,Bar,False,NNP,notebook,True,False,False,False,False,NNP,False,acer,True,False,False,False,False,NNP,False,O
1.0,acer,False,True,False,False,cer,Ace,False,NNP,baru,True,False,False,False,False,NNP,False,aspire,True,False,False,False,False,NNP,False,B-BRAND
1.0,aspire,False,True,False,False,ire,Asp,False,NNP,acer,True,False,False,False,False,NNP,False,3,False,False,True,True,False,CD,False,I-BRAND
1.0,3,False,False,True,True,3,3,False,CD,aspire,True,False,False,False,False,NNP,False,a315,True,True,False,True,False,CD,False,I-BRAND
1.0,a315,True,True,False,True,315,A31,False,CD,3,False,False,True,True,False,CD,False,41,False,False,True,True,False,CD,False,B-NAME
1.0,41,False,False,True,True,41,41,False,CD,a315,True,True,False,True,False,CD,False,amd,False,True,False,False,False,NNP,False,O
1.0,amd,True,False,False,False,AMD,AMD,False,NNP,41,False,False,True,True,False,CD,False,ryzen,True,False,False,False,False,NNP,False,B-BRAND
1.0,ryzen,False,True,False,False,zen,Ryz,False,NNP,amd,False,True,False,False,False,NNP,False,ryzen,True,False,False,False,False,NNP,False,I-BRAND
1.0,ryzen,False,True,False,False,zen,Ryz,False,NNP,ryzen,True,False,False,False,False,NNP,False,3,False,False,True,True,False,CD,False,B-PROCESSOR
1.0,3,False,False,True,True,3,3,False,CD,ryzen,True,False,False,False,False,NNP,False,2200u,True,True,False,True,False,CD,False,I-PROCESSOR
1.0,2200u,True,True,False,True,00U,220,False,CD,3,False,False,True,True,False,CD,False,ram,False,True,False,False,False,NN,False,B-NAME
1.0,ram,True,False,False,False,RAM,RAM,False,NN,2200u,True,True,False,True,False,CD,False,4gb,False,True,False,True,False,CD,False,B-RAM
1.0,4gb,True,False,False,True,4GB,4GB,False,CD,ram,False,True,False,False,False,NN,False,1tb,False,True,False,True,False,CD,False,I-RAM
1.0,1tb,True,False,False,True,1TB,1TB,False,CD,4gb,False,True,False,True,False,CD,False,w10,True,True,False,True,False,NNP,False,B-CAPACITY
1.0,w10,True,True,False,True,W10,W10,False,NNP,1tb,False,True,False,True,False,CD,False,black,True,False,False,False,False,NNP,False,B-OS
1.0,black,False,True,False,False,ack,Bla,False,NNP,w10,True,True,False,True,False,NNP,False,laptop,True,False,False,False,False,NNP,False,B-COLOR
1.0,laptop,False,True,False,False,top,Lap,False,NNP,black,True,False,False,False,False,NNP,False,murah,True,False,False,False,False,NNP,False,B-TYPE
1.0,murah,False,True,False,False,rah,Mur,False,NNP,laptop,True,False,False,False,False,NNP,False,gratis,True,False,False,False,False,NNP,False,O
1.0,gratis,False,True,False,False,tis,Gra,False,NNP,murah,True,False,False,False,False,NNP,False,tas,True,False,False,False,False,NNP,False,O
1.0,tas,False,True,False,False,Tas,Tas,False,NNP,gratis,True,False,False,False,False,NNP,False,bergaransi,True,False,False,False,False,NNP,False,O
1.0,bergaransi,False,True,False,False,nsi,Ber,False,NNP,tas,True,False,False,False,False,NNP,False,True,None,None,None,None,None,None,None,O
1.0,promo,False,True,False,False,omo,Pro,False,NNP,True,None,None,None,None,None,None,None,notebook,True,False,False,False,False,NNP,False,O
1.0,notebook,False,True,False,False,ook,Not,False,NNP,promo,True,False,False,False,False,NNP,False,baru,True,False,False,False,False,NNP,False,B-TYPE
1.0,baru,False,True,False,False,aru,Bar,False,NNP,notebook,True,False,False,False,False,NNP,False,hp,False,True,False,False,False,NNP,False,O
1.0,hp,True,False,False,False,HP,HP,False,NNP,baru,True,False,False,False,False,NNP,False,15,False,False,True,True,False,CD,False,B-BRAND
1.0,15,False,False,True,True,15,15,False,CD,hp,False,True,False,False,False,NNP,False,db0005au,False,True,False,True,False,NNP,False,B-TYPE
1.0,db0005au,True,False,False,True,5AU,DB0,False,NNP,15,False,False,True,True,False,CD,False,amd,False,True,False,False,False,NNP,False,I-TYPE
1.0,amd,True,False,False,False,AMD,AMD,False,NNP,db0005au,False,True,False,True,False,NNP,False,dual,True,False,False,False,False,NNP,False,B-TYPE
1.0,dual,False,True,False,False,ual,Dua,False,NNP,amd,False,True,False,False,False,NNP,False,core,True,False,False,False,False,NNP,False,I-TYPE
1.0,core,False,True,False,False,ore,Cor,False,NNP,dual,True,False,False,False,False,NNP,False,e2,True,True,False,True,False,NNP,False,I-TYPE
1.0,e2,True,True,False,True,E2,E2,False,NNP,core,True,False,False,False,False,NNP,False,9000e,False,False,False,True,False,CD,False,I-TYPE
1.0,9000e,False,False,False,True,00e,900,False,CD,e2,True,True,False,True,False,NNP,False,4gb,False,True,False,True,False,CD,False,I-TYPE
1.0,4gb,True,False,False,True,4GB,4GB,False,CD,9000e,False,False,False,True,False,CD,False,ddr4,False,True,False,True,False,CD,False,B-RAM
1.0,ddr4,True,False,False,True,DR4,DDR,False,CD,4gb,False,True,False,True,False,CD,False,500,False,False,True,True,False,CD,False,I-RAM
1.0,500,False,False,True,True,500,500,False,CD,ddr4,False,True,False,True,False,CD,False,gb,False,True,False,False,False,NNP,False,B-CAPACITY
1.0,gb,True,False,False,False,GB,GB,False,NNP,500,False,False,True,True,False,CD,False,amd,False,True,False,False,False,NNP,False,I-CAPACITY
1.0,amd,True,False,False,False,AMD,AMD,False,NNP,gb,False,True,False,False,False,NNP,False,radeon,True,False,False,False,False,NNP,False,B-BRAND
1.0,radeon,False,True,False,False,eon,Rad,False,NNP,amd,False,True,False,False,False,NNP,False,r2,True,True,False,True,False,NNP,False,I-BRAND
1.0,r2,True,True,False,True,R2,R2,False,NNP,radeon,True,False,False,False,False,NNP,False,graphics,True,False,False,False,False,NNP,False,O
1.0,graphics,False,True,False,False,ics,Gra,False,NNP,r2,True,True,False,True,False,NNP,False,15.6,False,False,False,True,False,NNP,False,O
1.0,15.6,False,False,False,True,5.6,15.,False,NNP,graphics,True,False,False,False,False,NNP,False,w10,True,True,False,True,False,NNP,False,O
1.0,w10,True,True,False,True,W10,W10,False,NNP,15.6,False,False,False,True,False,NNP,False,black,True,False,False,False,False,NNP,False,B-OS
1.0,black,False,True,False,False,ack,Bla,False,NNP,w10,True,True,False,True,False,NNP,False,laptop,True,False,False,False,False,NNP,False,B-COLOR
1.0,laptop,False,True,False,False,top,Lap,False,NNP,black,True,False,False,False,False,NNP,False,murah,True,False,False,False,False,NNP,False,B-TYPE
1.0,murah,False,True,False,False,rah,Mur,False,NNP,laptop,True,False,False,False,False,NNP,False,(gratis,True,False,False,False,False,NNP,False,O
1.0,(gratis,False,True,False,False,tis,(Gr,False,NNP,murah,True,False,False,False,False,NNP,False,tas),True,False,False,False,False,NNP,False,O
1.0,tas),False,True,False,False,as),Tas,False,NNP,(gratis,True,False,False,False,False,NNP,False,bergaransi,True,False,False,False,False,NNP,False,O
1.0,bergaransi,False,True,False,False,nsi,Ber,False,NNP,tas),True,False,False,False,False,NNP,False,True,None,None,None,None,None,None,None,O
1.0,makita,False,True,False,False,ita,Mak,False,NNP,True,None,None,None,None,None,None,None,ebh,False,True,False,False,False,NNP,False,B-BRAND
1.0,ebh,True,False,False,False,EBH,EBH,False,NNP,makita,True,False,False,False,False,NNP,False,340,False,False,True,True,False,NNP,False,B-NAME
1.0,340,False,False,True,True,340,340,False,NNP,ebh,False,True,False,False,False,NNP,False,r,True,True,False,False,False,NNP,False,I-NAME
1.0,r,True,True,False,False,R,R,False,NNP,340,False,False,True,True,False,NNP,False,mesin,True,False,False,False,False,NNP,False,I-NAME
1.0,mesin,False,True,False,False,sin,Mes,False,NNP,r,True,True,False,False,False,NNP,False,potong,True,False,False,False,False,NNP,False,B-TYPE
1.0,potong,False,True,False,False,ong,Pot,False,NNP,mesin,True,False,False,False,False,NNP,False,rumput,True,False,False,False,False,NNP,False,I-TYPE
1.0,rumput,False,True,False,False,put,Rum,False,NNP,potong,True,False,False,False,False,NNP,False,brush,True,False,False,False,False,NNP,False,I-TYPE
1.0,brush,False,True,False,False,ush,Bru,False,NNP,rumput,True,False,False,False,False,NNP,False,cutter,True,False,False,False,False,NNP,False,B-NAME
1.0,cutter,False,True,False,False,ter,Cut,False,NNP,brush,True,False,False,False,False,NNP,False,4,False,False,True,True,False,CD,False,I-NAME
1.0,4,False,False,True,True,4,4,False,CD,cutter,True,False,False,False,False,NNP,False,tak,True,False,False,False,False,NNP,False,I-NAME
1.0,tak,False,True,False,False,Tak,Tak,False,NNP,4,False,False,True,True,False,CD,False,made,True,False,False,False,False,NNP,False,I-NAME
1.0,made,False,True,False,False,ade,Mad,False,NNP,tak,True,False,False,False,False,NNP,False,in,True,False,False,False,False,NNP,False,O
1.0,in,False,True,False,False,In,In,False,NNP,made,True,False,False,False,False,NNP,False,japan,False,True,False,False,False,NNP,False,O
1.0,japan,True,False,False,False,PAN,JAP,False,NNP,in,True,False,False,False,False,NNP,False,True,None,None,None,None,None,None,None,O
1.0,knalpot,False,False,False,False,pot,kna,False,FW,True,None,None,None,None,None,None,None,termignoni,False,False,False,False,False,FW,False,B-TYPE
1.0,termignoni,False,False,False,False,oni,ter,False,FW,knalpot,False,False,False,False,False,FW,False,jupiter,False,False,False,False,False,FW,False,B-BRAND
1.0,jupiter,False,False,False,False,ter,jup,False,FW,termignoni,False,False,False,False,False,FW,False,z,False,False,False,False,False,FW,False,B-BRAND
1.0,z,False,False,False,False,z,z,False,FW,jupiter,False,False,False,False,False,FW,False,",",False,False,False,False,False,Z,False,I-BRAND
1.0,",",False,False,False,False,",",",",False,Z,z,False,False,False,False,False,FW,False,mx135,False,False,False,True,False,CD,False,O
1.0,mx135,False,False,False,True,135,mx1,False,CD,",",False,False,False,False,False,Z,False,dan,False,False,False,False,True,CC,False,B-BRAND
1.0,dan,False,False,False,False,dan,dan,True,CC,mx135,False,False,False,True,False,CD,False,mx,False,False,False,False,False,FW,False,O
1.0,mx,False,False,False,False,mx,mx,False,FW,dan,False,False,False,False,True,CC,False,king,False,False,False,False,False,FW,False,B-BRAND
1.0,king,False,False,False,False,ing,kin,False,FW,mx,False,False,False,False,False,FW,False,True,None,None,None,None,None,None,None,I-BRAND
1.0,f0-set,False,False,False,True,set,f0-,False,CD,True,None,None,None,None,None,None,None,choco,False,False,False,False,False,NN,False,O
1.0,choco,False,False,False,False,oco,cho,False,NN,f0-set,False,False,False,True,False,CD,False,girl,False,False,False,False,False,NN,False,B-THEME
1.0,girl,False,False,False,False,irl,gir,False,NN,choco,False,False,False,False,False,NN,False,3-5thn,False,False,False,True,False,CD,False,I-THEME
1.0,3-5thn,False,False,False,True,thn,3-5,False,CD,girl,False,False,False,False,False,NN,False,True,None,None,None,None,None,None,None,B-AGE
1.0,geil,False,True,False,False,eil,Gei,False,NNP,True,None,None,None,None,None,None,None,evo,True,False,False,False,False,NNP,False,B-BRAND
1.0,evo,False,True,False,False,Evo,Evo,False,NNP,geil,True,False,False,False,False,NNP,False,x,True,True,False,False,False,NNP,False,B-NAME
1.0,x,True,True,False,False,X,X,False,NNP,evo,True,False,False,False,False,NNP,False,rgb,True,False,False,False,False,NNP,False,I-NAME
1.0,rgb,False,True,False,False,Rgb,Rgb,False,NNP,x,True,True,False,False,False,NNP,False,led,True,False,False,False,False,NNP,False,B-TYPE
1.0,led,False,True,False,False,Led,Led,False,NNP,rgb,True,False,False,False,False,NNP,False,2x4gb,False,False,False,True,False,NNP,False,I-TYPE
1.0,2x4gb,False,False,False,True,4gb,2x4,False,NNP,led,True,False,False,False,False,NNP,False,ddr4,True,False,False,True,False,NNP,False,I-TYPE
1.0,ddr4,False,True,False,True,dr4,Ddr,False,NNP,2x4gb,False,False,False,True,False,NNP,False,pc19200,True,False,False,True,False,NNP,False,I-TYPE
1.0,pc19200,False,True,False,True,200,Pc1,False,NNP,ddr4,True,False,False,True,False,NNP,False,white,True,False,False,False,False,NNP,False,I-TYPE
1.0,white,False,True,False,False,ite,Whi,False,NNP,pc19200,True,False,False,True,False,NNP,False,gexw48gb2400c16dc,False,False,False,True,False,NNP,False,B-COLOR
1.0,gexw48gb2400c16dc,False,False,False,True,6dc,Gex,False,NNP,white,True,False,False,False,False,NNP,False,True,None,None,None,None,None,None,None,B-TYPE
1.0,yonex,False,True,False,False,nex,Yon,False,NNP,True,None,None,None,None,None,None,None,duora,True,False,False,False,False,NNP,False,B-BRAND
1.0,duora,False,True,False,False,ora,Duo,False,NNP,yonex,True,False,False,False,False,NNP,False,10,False,False,True,True,False,CD,False,B-NAME
1.0,10,False,False,True,True,10,10,False,CD,duora,True,False,False,False,False,NNP,False,raket,True,False,False,False,False,NNP,False,I-NAME
1.0,raket,False,True,False,False,ket,Rak,False,NNP,10,False,False,True,True,False,CD,False,badminton,True,False,False,False,False,NNP,False,B-TYPE
1.0,badminton,False,True,False,False,ton,Bad,False,NNP,raket,True,False,False,False,False,NNP,False,explosive,True,False,False,False,False,NNP,False,I-TYPE
1.0,explosive,False,True,False,False,ive,Exp,False,NNP,badminton,True,False,False,False,False,NNP,False,series,True,False,False,False,False,NNP,False,B-NAME
1.0,series,False,True,False,False,ies,Ser,False,NNP,explosive,True,False,False,False,False,NNP,False,True,None,None,None,None,None,None,None,I-NAME
1.0,beautylover,False,True,False,False,ver,Bea,False,NNP,True,None,None,None,None,None,None,None,cami,True,False,False,False,False,NNP,False,B-BRAND
1.0,cami,False,True,False,False,ami,Cam,False,NNP,beautylover,True,False,False,False,False,NNP,False,hot,True,False,False,False,False,NNP,False,B-TYPE
1.0,hot,False,True,False,False,Hot,Hot,False,NNP,cami,True,False,False,False,False,NNP,False,shaper,True,False,False,False,False,NNP,False,I-TYPE
1.0,shaper,False,True,False,False,per,Sha,False,NNP,hot,True,False,False,False,False,NNP,False,slimming,True,False,False,False,False,NNP,False,I-TYPE
1.0,slimming,False,True,False,False,ing,Sli,False,NNP,shaper,True,False,False,False,False,NNP,False,pembakar,True,False,False,False,False,NNP,False,I-TYPE
1.0,pembakar,False,True,False,False,kar,Pem,False,NNP,slimming,True,False,False,False,False,NNP,False,lemak,True,False,False,False,False,NNP,False,B-TYPE
1.0,lemak,False,True,False,False,mak,Lem,False,NNP,pembakar,True,False,False,False,False,NNP,False,True,None,None,None,None,None,None,None,I-TYPE
1.0,handphone,False,True,False,False,one,Han,False,NNP,True,None,None,None,None,None,None,None,apple,True,False,False,False,False,NNP,False,B-TYPE
1.0,apple,False,True,False,False,ple,App,False,NNP,handphone,True,False,False,False,False,NNP,False,iphone,False,False,False,False,False,NNP,False,B-BRAND
1.0,iphone,False,False,False,False,one,iph,False,NNP,apple,True,False,False,False,False,NNP,False,6s,False,False,False,True,False,CD,False,B-NAME
1.0,6s,False,False,False,True,6s,6s,False,CD,iphone,False,False,False,False,False,NNP,False,2gb,False,True,False,True,False,CD,False,I-NAME
1.0,2gb,True,False,False,True,2GB,2GB,False,CD,6s,False,False,False,True,False,CD,False,ios,False,False,False,False,False,NN,False,B-RAM
1.0,ios,False,False,False,False,iOS,iOS,False,NN,2gb,False,True,False,True,False,CD,False,9,False,False,True,True,False,CD,False,B-OS
1.0,9,False,False,True,True,9,9,False,CD,ios,False,False,False,False,False,NN,False,black,True,False,False,False,False,NNP,False,I-OS
1.0,black,False,True,False,False,ack,Bla,False,NNP,9,False,False,True,True,False,CD,False,quad-core,False,False,False,False,False,NNP,False,B-COLOR
1.0,quad-core,False,False,False,False,ore,Qua,False,NNP,black,True,False,False,False,False,NNP,False,True,None,None,None,None,None,None,None,B-PROCESSOR
1.0,polo,False,True,False,False,olo,Pol,False,NNP,True,None,None,None,None,None,None,None,shirt,False,False,False,False,False,VB,False,B-TYPE
1.0,shirt,False,False,False,False,irt,shi,False,VB,polo,True,False,False,False,False,NNP,False,for,False,False,False,False,False,NN,False,I-TYPE
