Word,POS,Label
rechargeable,FW,O
led,FW,O
emergency,FW,B-TYPE
lamp,FW,I-TYPE
lampu,JJ,B-TYPE
darurat,NN,I-TYPE
twin,NNP,O
spot,NNP,O
HIGH,NNP,O
QUALITY,NNP,O
Eleaf,NNP,B-NAME
Pico,NNP,B-BRAND
Melo,NNP,B-NAME
III,NNP,I-NAME
Mini,NNP,B-SIZE
Atomizer,NNP,B-TYPE
&,NNP,I-TYPE
Tank,NNP,I-TYPE
Blue,FW,B-COLOR
intl,FW,O
Jaket,NNP,B-TYPE
All,NNP,B-BRAND
Star,NNP,I-BRAND
2,CD,O
in,NN,O
1,CD,O
Jam,NNP,B-TYPE
Tangan,NNP,I-TYPE
Pria,NNP,B-GENDER
ALEXANDRE,NNP,B-BRAND
CHRISTIE,NNP,I-BRAND
Original,NNP,O
SRBUM,NNP,O
Fossil,NNP,O
Expedition,NNP,O
Police,NNP,O
Timberland,NNP,O
Aigner,NNP,O
HELM,NNP,B-TYPE
GM,NNP,B-BRAND
CROSS,NNP,O
MOTO1,NNP,O
Advance,NNP,B-BRAND
Power,NNP,B-TYPE
Cube,NNP,I-TYPE
Dual,NNP,I-TYPE
USB,NNP,I-TYPE
Car,NNP,I-TYPE
Charger,NNP,I-TYPE
5,CD,O
Konektor,NNP,O
Nillkin,NNP,B-BRAND
Sparkle,NNP,B-TYPE
Leather,NNP,I-TYPE
Case,NNP,I-TYPE
BOOK,NNP,B-TYPE
COVER,NNP,I-TYPE
Titanium,NNP,B-COLOR
Bronze,NNP,I-COLOR
DENDENG,NNP,B-TYPE
AYAM,NNP,B-MATERIAL
KHAS,NNP,O
RASA,NNP,O
KRIUK,NNP,O
GURIH,NNP,O
PSE,NNP,B-BRAND
Jam,NNP,B-TYPE
Dinding,NNP,I-TYPE
Souvenir,NNP,B-TYPE
Online,NNP,O
Kaligrafi,NNP,B-TYPE
Standar,NNP,O
30,CD,B-DIMENSION
cm,NND,I-DIMENSION
Gantungan,NNP,B-TYPE
Kunci,NNP,I-TYPE
Thailand,NNP,B-THEME
Untuk,NNP,O
Souvenir,NNP,O
Setelan,NNP,B-TYPE
Bora,NNP,I-TYPE
setelan,NN,B-TYPE
mini,PR,I-TYPE
baju,VB,B-TYPE
korea,NN,I-TYPE
style,FW,O
Kabel,NNP,B-TYPE
HDMI,NNP,I-TYPE
to,NNP,I-TYPE
5,CD,I-TYPE
RCA,NNP,I-TYPE
1.5m,CD,B-DIMENSION
Skip,NNP,B-BRAND
Hop,NNP,I-BRAND
Blanket,NNP,B-TYPE
Selimut,NNP,B-TYPE
Topi,NNP,I-TYPE
Bayi,NNP,I-TYPE
lottus,VB,B-BRAND
leaf,NN,I-BRAND
pelangsing,NN,B-TYPE
aman,JJ,O
dan,CC,O
manjur,NN,O
2,CD,O
kapsul,VB,O
WiyadiStore,NNP,O
Pasir,NNP,B-TYPE
Zeolit,NNP,B-MATERIAL
02,CD,O
[Re-pack,NN,O
1kg,CD,B-MASS
Modernlifeshop,NNP,B-BRAND
Gitar,NNP,B-TYPE
Akustik,NNP,I-TYPE
Accoustic,NNP,B-TYPE
Guitar,NNP,I-TYPE
Jual,NNP,O
Dosing,NNP,B-TYPE
Pump,NNP,I-TYPE
JM,NNP,B-BRAND
4,CD,B-NAME
72,CD,I-NAME
7,CD,I-NAME
Metring,NNP,B-TYPE
Pump,NNP,I-TYPE
High,NNP,O
Quality,NNP,O
Produk,NNP,O
Murah,NNP,O
20170821,CD,O
Handphone,NNP,B-TYPE
Apple,NNP,B-BRAND
iPhone,NNP,B-NAME
7,NNP,I-NAME
Plus,NNP,I-NAME
3GB,CD,B-RAM
iOS,NN,B-OS
10,CD,I-OS
Apple,FW,B-BRAND
iphone,FW,I-NAME
6,CD,I-NAME
2GB,CD,B-RAM
iOS,NN,B-OS
9,CD,I-OS
Putih,NNP,B-COLOR
Quad-core,NNP,B-PROCESSOR
Boots,NNP,B-TYPE
Cantik,NNP,O
TR01,NNP,O
paket,NN,B-TYPE
Ibu,NNP,I-TYPE
Hamil,NNP,I-TYPE
kurma,VB,I-TYPE
azwa,NN,I-TYPE
dan,CC,I-TYPE
Madu,NNP,I-TYPE
murni,NNP,I-TYPE
CINCIN,NNP,B-TYPE
AJIB,NNP,O
BACAN,NNP,B-MATERIAL
DOKO,NNP,I-MATERIAL
MAJIKO,NNP,I-MATERIAL
Jual,NNP,O
Kitchen,NNP,B-TYPE
Set,NNP,I-TYPE
Frozen,NNP,B-THEME
Kitchen,NNP,B-TYPE
Set,NNP,I-TYPE
Masak,NNP,B-TYPE
Masakan,NNP,I-TYPE
Murah,NNP,I-TYPE
20170821,CD,O
Charger,NNP,B-TYPE
Motor,NNP,I-TYPE
Charger,NNP,B-TYPE
Arus,NNP,I-TYPE
Aki,NNP,I-TYPE
Motor,NNP,I-TYPE
Tombol,NNP,I-TYPE
ON,NNP,I-TYPE
OFF,NNP,I-TYPE
Nestle,NNP,B-BRAND
Cerelac,NNP,B-BRAND
120gr,CD,B-MASS
Kotak,NN,B-TYPE
Penyimpanan,NNP,I-TYPE
Kaleng,NNP,I-TYPE
Mini,NNP,I-TYPE
happy,FW,B-BRAND
dog,FW,I-BRAND
supreme,FW,B-NAME
fit,FW,I-NAME
and,FW,I-NAME
well,FW,I-NAME
4,CD,B-MASS
kg,NND,I-MASS
medium,NN,O
adult,FW,B-AGE
Davis,NNP,B-BRAND
Eye,NNP,B-TYPE
Shadow,NNP,I-TYPE
14,CD,O
Sollu,NNP,B-BRAND
Bag,NNP,B-TYPE
Backpack,NNP,B-TYPE
Ambush,NNP,B-NAME
Black,NNP,B-COLOR
Grey,NNP,B-COLOR
Celana,NNP,B-TYPE
Pendek,NNP,I-TYPE
Mode,NNP,I-TYPE
Olahraga,NNP,I-TYPE
CLN,NNP,O
348,CD,O
4R,CD,B-DIMENSION
Picture,NNP,B-TYPE
Album,NNP,I-TYPE
Case,NNP,I-TYPE
Photo,NNP,B-TYPE
Holder,NNP,I-TYPE
Storage,NNP,I-TYPE
Lampu,NNP,B-TYPE
Club,NNP,O
Juventus,NNP,B-THEME
real,FW,B-THEME
madrid,FW,I-THEME
Paket,NNP,B-TYPE
Jok,NNP,I-TYPE
Set,NNP,I-TYPE
EXCLUSIVE,NNP,O
MANCHESTER,NNP,B-THEME
UNITED,NNP,I-THEME
URBAN,NNP,B-BRAND
DELUXE,NNP,I-BRAND
Cover,NNP,B-TYPE
Body,NNP,I-TYPE
Mobil,NNP,I-TYPE
2,CD,O
Lapis,NNP,O
Kualitas,NNP,O
Tinggi,NNP,O
SMALL,NNP,O
MPV/SUV,NNP,O
SILVER,NNP,B-COLOR
HITAM,NNP,B-COLOR
Blue,NNP,B-BRAND
Band,NNP,I-BRAND
Mentega,NNP,B-TYPE
Sachet,NNP,I-TYPE
200,NNP,B-MASS
Gr,NNP,I-MASS
SET,NNP,B-TYPE
JEANS,NNP,I-TYPE
WILD,NNP,B-BRAND
CAT,NNP,I-BRAND
(W/OUT,NNP,O
HAT&BELT),NNP,O
SZ:,NNP,O
3-7Y,CD,B-SIZE
Pintar,IN,B-NAME
Paud,NNP,I-NAME
Pandai,NNP,I-NAME
Mengeja,NNP,I-NAME
PROMO...,NNP,O
MARINA,NNP,O
COOLER,NNP,B-TYPE
BOX,NNP,I-TYPE
6S,NNP,O
LION,NNP,B-BRAND
STAR,NNP,I-BRAND
Zwitsal,NNP,B-BRAND
Baby,NNP,B-AGE
Powder,NNP,B-TYPE
300gr,NNP,B-MASS
TWIN,NNP,O
PACK,NNP,O
Milo,NNP,B-BRAND
Actigen-E,NNP,B-NAME
300gr,NNP,B-MASS
Box,NNP,O
SUSU-MILO-006B,NNP,O
Nescafe,NNP,B-BRAND
Blend,NNP,B-NAME
&,NNP,I-NAME
Brew,NNP,I-NAME
20gr,CD,B-MASS
Sepatu,CD,B-TYPE
D-Island,NNP,B-BRAND
Shoes,NNP,B-TYPE
Casual,NNP,I-TYPE
Slip,NNP,I-TYPE
On,NNP,I-TYPE
Leather,NNP,B-MATERIAL
Soft,NNP,B-COLOR
Brown,NNP,I-COLOR
Yoko,NNP,B-BRAND
Whitening,NNP,B-NAME
Soap,NNP,I-NAME
Pepaya,NNP,I-NAME
SAMSUNG,NNP,B-BRAND
GALAXY,NNP,B-NAME
S5,NNP,I-NAME
Ironman,NNP,B-THEME
Wireless,NNP,B-TYPE
Mouse,NNP,I-TYPE
Korean,NNP,O
FairyBox,NNP,B-BRAND
Kalung,NNP,B-TYPE
Italy,NNP,O
Liontin,NNP,B-TYPE
WGP112,NNP,O
Dusen,NNP,B-BRAND
Berg,NNP,I-BRAND
Professional,NNP,O
Power,NNP,B-TYPE
Amplifier,NNP,I-TYPE
DB-1700,NNP,B-NAME
CROSS,NNP,B-NAME
PD1,NNP,I-NAME
Lace,NNP,B-TYPE
Ciffon,NNP,I-TYPE
Dress,NNP,I-TYPE
GA5279,NNP,O
Asus,NNP,B-BRAND
X454YA,NNP,B-NAME
BX801D,NNP,B-NAME
AMD,NNP,O
A8-7410,NNP,O
CPU,NNP,B-TYPE
Desktop,NNP,I-TYPE
Acer,NNP,B-BRAND
Core-I5,NNP,B-NAME
Ram4GB,NNP,I-NAME
Hardisk500GB,NNP,I-NAME
Ready,NNP,O
bergaransi,NNP,O
Spion,NNP,B-TYPE
Tomok,NNP,I-TYPE
Model,NNP,I-TYPE
Rizoma,NNP,I-TYPE
Full,NNP,O
CNC,NNP,B-TYPE
Besi,NNP,B-MATERIAL
Termignoni,NNP,B-BRAND
magic,FW,B-NAME
secret,FW,I-NAME
nose,FW,I-NAME
pemancung,VB,B-TYPE
hidung,NN,I-TYPE
SET,NNP,O
Diamond,NNP,B-NAME
Lace,NNP,I-NAME
Kimono,NNP,I-NAME
COGO,NNP,B-BRAND
BLOCK,NNP,B-NAME
CITY,NNP,I-NAME
EXPRESS,NNP,I-NAME
4107,CD,I-NAME
TERFAVORIT,NNP,O
A4,NNP,B-SIZE
Self,NNP,B-TYPE
Healing,NNP,I-TYPE
Cutting,NNP,I-TYPE
Mat,NNP,I-TYPE
Craft,NNP,I-TYPE
Card,NNP,I-TYPE
Fabric,NNP,B-MATERIAL
Leather,NNP,I-MATERIAL
Paper,NNP,I-MATERIAL
Board,NNP,B-TYPE
intl,NNP,O
pipa,NN,B-TYPE
ppr,NN,O
dan,CC,O
fitting,NN,O
ppr,NN,O
era,NN,O
lengkap,VB,O
Selimut,NNP,B-TYPE
150x240,NNP,B-DIMENSION
Princess,NNP,B-BRAND
Sjz,NNP,O
Sj50122685,NNP,O
panasonic,FW,B-BRAND
hair,FW,B-TYPE
dryer,FW,I-TYPE
EH-ND21-p,CD,B-NAME
Ume,NNP,B-BRAND
Ultra,NNP,B-NAME
Fit,NNP,I-NAME
Air,NNP,I-NAME
Soft,NNP,B-TYPE
Case,NNP,I-TYPE
SYNERGY,NNP,B-BRAND
LABS,NNP,I-BRAND
Dog,NNP,B-NAME
Whisperer,NNP,I-NAME
Flea,NNP,I-NAME
&,NNP,I-NAME
Tick,NNP,I-NAME
Shampoo,NNP,I-NAME
16oz,CD,B-DIMENSION
faded,FW,B-BRAND
glory,FW,I-BRAND
cute,FW,O
cocktail,FW,B-TYPE
dress,FW,I-TYPE
Elicina,NNP,B-BRAND
Plus,NNP,B-NAME
Snail,NNP,I-NAME
Cream,NNP,I-NAME
20gr,CD,B-MASS
/kulit,NN,O
kering/sensitif/menghilangkan,VB,O
"Strechmark,",NNP,O
Bekas,NNP,O
Luka,NNP,O
dll,NNP,O
4,CD,B-TYPE
in1,CD,I-TYPE
Aquarium,NNP,I-TYPE
Fish,NNP,B-TYPE
Fry,NNP,I-TYPE
Breeding,NNP,I-TYPE
Hatchery,NNP,I-TYPE
Incubator,NNP,B-TYPE
Isolation,NNP,B-TYPE
Box,NNP,I-TYPE
Tank,NNP,B-TYPE
Shrimp,NNP,I-TYPE
Small,NNP,B-SIZE
intl,NNP,O
KOMPRESOR,NNP,B-TYPE
LAKONI,NNP,B-BRAND
IMOLA,NNP,B-NAME
125,CD,I-NAME
KOMPRESOR,NNP,B-TYPE
LISTRIK,NNP,I-TYPE
KOMPRESOR,NNP,B-TYPE
LAKONI,NNP,B-BRAND
IMOLA,NNP,B-NAME
Krisbow,NNP,B-BRAND
Penghancur,NNP,B-TYPE
Kertas,NNP,I-TYPE
Paper,NNP,B-TYPE
Shredder,NNP,I-TYPE
8sheets,CD,O
S340,CD,B-NAME
Tupperware,NNP,B-BRAND
Eco,NNP,B-NAME
Bottle,NNP,I-NAME
2L,CD,B-DIMENSION
1,CD,B-NAME
Promo,NNP,O
Sambucol,NNP,B-BRAND
Cold,NNP,B-NAME
Flu,NNP,I-NAME
For,NNP,I-NAME
Kids,NNP,I-NAME
120ml,NNP,B-DIMENSION
Syrup,NNP,O
Murah,NNP,O
20170821,CD,O
keju,VB,B-TYPE
parmesan,NN,I-TYPE
Madu,NNP,B-TYPE
Odeng,NNP,I-TYPE
Baduy,NNP,I-TYPE
Murni,NNP,I-TYPE
SAMSUNG,NNP,B-BRAND
CARAMEL,NNP,B-NAME
GT-E1272,NNP,I-NAME
BLACK,NNP,B-COLOR
Kerajinan,NN,O
kayu,NN,B-MATERIAL
jati,VB,I-MATERIAL
tempat,NN,B-TYPE
aqua,CD,I-TYPE
gelas,NN,I-TYPE
berbentuk,VB,O
Itik,NNP,B-SHAPE
Blackwood,NNP,B-BRAND
Puppy,NNP,B-NAME
To,NNP,I-NAME
Adult,NNP,I-NAME
-,NNP,I-NAME
Special,NNP,I-NAME
Diet,NNP,I-NAME
-,NNP,I-NAME
Salmon,NNP,I-NAME
Meal,NNP,I-NAME
13.6,CD,B-MASS
kg,NND,I-MASS
adalah,VB,O
makanan,NN,B-TYPE
anjing,FW,I-TYPE
Philips,NNP,B-BRAND
Car,NNP,B-TYPE
Mount,NNP,I-TYPE
HP,NNP,I-TYPE
Phone,NNP,B-TYPE
Charger,NNP,I-TYPE
Holder,NNP,I-TYPE
Universal,NNP,I-TYPE
di,IN,I-TYPE
mobil,NN,I-TYPE
DLK13011B,NNP,B-NAME
VXZ,NNP,I-NAME
Humidifier,NNP,B-TYPE
Mesin,NNP,B-TYPE
Kabut,NNP,I-TYPE
Rumah,NNP,I-TYPE
Walet,NNP,I-TYPE
Kyodo,NNP,B-BRAND
KY3900,NNP,B-NAME
High,NNP,O
Quality,NNP,O
MARVEL,NNP,B-BRAND
Premium,NNP,O
Power,NNP,B-TYPE
Bank,NNP,I-TYPE
jaket,FW,B-TYPE
hoodie,FW,B-TYPE
sweater,FW,B-TYPE
jumper,FW,B-TYPE
merah,JJ,B-COLOR
Hearing,NNP,B-TYPE
Aid,NNP,I-TYPE
Axon,NNP,B-BRAND
F-998,NNP,B-NAME
Alat,NNP,O
Pengukur,NNP,B-TYPE
Komponen,NNP,I-TYPE
Digital,NNP,I-TYPE
Diode,NNP,B-TYPE
Chek,NNP,I-TYPE
Mastech,NNP,B-BRAND
MS-8910,NNP,B-NAME
SMD,NNP,O
Tester,NNP,O
Tas,NN,B-TYPE
bayi,NN,B-AGE
import,NNP,O
Diapers,NNP,B-TYPE
Travel,NNP,B-TYPE
bag,NNP,I-TYPE
DB_10026,NNP,B-NAME
Bendera,NNP,B-BRAND
Karya,NNP,B-NAME
4,CD,I-NAME
-,Z,I-NAME
6,CD,I-NAME
Madu,NNP,B-MATERIAL
400,NNP,B-MASS
Gram,NNP,I-MASS
