key,value
"('word.isupper()', 'I-GRAPHIC')",0.425173
"('word.isupper()', 'B-MEMORY')",0.813049
"('word.isupper()', 'I-CPU')",-0.330243
"('word.isupper()', 'B-DISPLAY')",0.815535
"('word.isupper()', 'I-GENDER')",0.06934
"('word.istitle()', 'B-TYPE')",0.511373
"('word.istitle()', 'B-BRAND')",-0.314569
"('word.istitle()', 'O')",-0.132168
"('word.istitle()', 'I-BRAND')",0.185194
"('word.istitle()', 'B-NAME')",0.315542
"('word.istitle()', 'B-PROCESSOR')",0.523121
"('word.istitle()', 'I-PROCESSOR')",0.140405
"('word.istitle()', 'B-RAM')",-1.167146
"('word.istitle()', 'I-RAM')",-0.637507
"('word.istitle()', 'B-CAPACITY')",-0.887388
"('word.istitle()', 'B-OS')",0.75091
"('word.istitle()', 'I-TYPE')",0.37895
"('word.istitle()', 'I-CAPACITY')",-0.452286
"('word.istitle()', 'B-COLOR')",-0.005689
"('word.istitle()', 'I-NAME')",0.165134
"('word.istitle()', 'B-THEME')",0.352874
"('word.istitle()', 'I-THEME')",0.092171
"('word.istitle()', 'B-AGE')",0.395008
"('word.istitle()', 'B-GENDER')",0.198508
"('word.istitle()', 'B-SIZE')",0.646346
"('word.istitle()', 'B-SHAPE')",0.396237
"('word.istitle()', 'B-MATERIAL')",0.389125
"('word.istitle()', 'B-MASS')",-1.750081
"('word.istitle()', 'I-MASS')",-0.133308
"('word.istitle()', 'I-COLOR')",0.806435
"('word.istitle()', 'B-DIMENSION')",-2.016921
"('word.istitle()', 'I-MATERIAL')",0.697643
"('word.istitle()', 'I-SHAPE')",0.205054
"('word.istitle()', 'I-DIMENSION')",-0.662692
"('word.istitle()', 'I-AGE')",0.185088
"('word.istitle()', 'I-SIZE')",0.401922
"('word.istitle()', 'I-OS')",-0.133153
"('word.istitle()', 'B-STORAGE')",-0.901108
"('word.istitle()', 'I-STORAGE')",-0.43134
"('word.istitle()', 'B-CPU')",0.368803
"('word.istitle()', 'B-GRAPHIC')",-0.858726
"('word.istitle()', 'I-GRAPHIC')",-0.752278
"('word.istitle()', 'B-MEMORY')",-0.282585
"('word.istitle()', 'I-MEMORY')",0.185121
"('word.istitle()', 'I-CPU')",-0.037822
"('word.istitle()', 'B-DISPLAY')",-0.473803
"('word.istitle()', 'I-DISPLAY')",-0.065865
"('word.istitle()', 'I-GENDER')",-0.540827
"('word.isdigit()', 'B-TYPE')",-0.543942
"('word.isdigit()', 'B-BRAND')",-0.841511
"('word.isdigit()', 'O')",0.890258
"('word.isdigit()', 'I-BRAND')",0.363043
"('word.isdigit()', 'B-NAME')",0.405754
"('word.isdigit()', 'B-PROCESSOR')",-0.363088
"('word.isdigit()', 'B-RAM')",-0.12515
"('word.isdigit()', 'B-CAPACITY')",-0.055581
"('word.isdigit()', 'B-OS')",-0.216703
"('word.isdigit()', 'I-TYPE')",0.057483
"('word.isdigit()', 'I-CAPACITY')",0.192579
"('word.isdigit()', 'B-COLOR')",-0.291479
"('word.isdigit()', 'I-NAME')",2.202205
"('word.isdigit()', 'B-THEME')",-0.496458
"('word.isdigit()', 'I-THEME')",-0.011065
"('word.isdigit()', 'B-AGE')",-0.632306
"('word.isdigit()', 'B-GENDER')",-0.303078
"('word.isdigit()', 'B-SIZE')",0.956705
"('word.isdigit()', 'B-SHAPE')",-0.112601
"('word.isdigit()', 'B-MATERIAL')",-0.039322
"('word.isdigit()', 'B-MASS')",-0.518872
"('word.isdigit()', 'I-MASS')",0.537207
"('word.isdigit()', 'I-COLOR')",-0.248158
"('word.isdigit()', 'B-DIMENSION')",-0.739325
"('word.isdigit()', 'I-MATERIAL')",0.232452
"('word.isdigit()', 'I-SHAPE')",-0.019553
"('word.isdigit()', 'I-DIMENSION')",0.691387
"('word.isdigit()', 'I-AGE')",0.122154
"('word.isdigit()', 'I-SIZE')",1.123244
"('word.isdigit()', 'I-OS')",1.012834
"('word.isdigit()', 'B-STORAGE')",-0.334827
"('word.isdigit()', 'I-MEMORY')",-0.082137
"('postag:NNP', 'B-TYPE')",0.549014
"('postag:NNP', 'B-BRAND')",1.043836
"('postag:NNP', 'O')",0.026
"('postag:NNP', 'I-BRAND')",0.170491
"('postag:NNP', 'B-NAME')",0.431708
"('postag:NNP', 'B-PROCESSOR')",-0.146193
"('postag:NNP', 'B-RAM')",-0.13256
"('postag:NNP', 'I-RAM')",-0.413516
"('postag:NNP', 'B-CAPACITY')",-0.015353
"('postag:NNP', 'B-OS')",0.044813
"('postag:NNP', 'I-TYPE')",-0.022151
"('postag:NNP', 'I-CAPACITY')",-0.729203
"('postag:NNP', 'B-COLOR')",0.775263
"('postag:NNP', 'I-NAME')",0.159878
"('postag:NNP', 'B-THEME')",0.421948
"('postag:NNP', 'I-THEME')",-0.010378
"('postag:NNP', 'B-AGE')",-0.082212
"('postag:NNP', 'B-GENDER')",0.146126
"('postag:NNP', 'B-SIZE')",0.024824
"('postag:NNP', 'B-SHAPE')",0.252652
"('postag:NNP', 'B-MATERIAL')",0.242509
"('postag:NNP', 'I-MASS')",0.124394
"('postag:NNP', 'I-COLOR')",0.096772
"('postag:NNP', 'B-DIMENSION')",0.231104
"('postag:NNP', 'I-MATERIAL')",0.001203
"('postag:NNP', 'I-SHAPE')",-0.266128
"('postag:NNP', 'I-DIMENSION')",-0.103962
"('postag:NNP', 'I-AGE')",-8e-06
"('postag:NNP', 'I-SIZE')",-0.386304
"('postag:NNP', 'I-CAMERA')",-0.285901
"('postag:NNP', 'B-GRAPHIC')",-0.433148
"('postag:NNP', 'B-MEMORY')",-0.108021
"('postag:NNP', 'I-MEMORY')",-0.561441
"('postag:NNP', 'I-CPU')",0.004963
"('postag:NNP', 'B-DISPLAY')",0.483105
"('postag[:2]:NN', 'B-TYPE')",0.770099
"('postag[:2]:NN', 'B-BRAND')",0.97
"('postag[:2]:NN', 'O')",0.583905
"('postag[:2]:NN', 'I-BRAND')",0.151381
"('postag[:2]:NN', 'B-NAME')",0.413628
"('postag[:2]:NN', 'B-PROCESSOR')",-0.608793
"('postag[:2]:NN', 'I-PROCESSOR')",-0.196515
"('postag[:2]:NN', 'B-RAM')",-0.805688
"('postag[:2]:NN', 'I-RAM')",-0.324563
"('postag[:2]:NN', 'B-CAPACITY')",-0.755904
"('postag[:2]:NN', 'B-OS')",0.015861
"('postag[:2]:NN', 'I-TYPE')",0.108305
"('postag[:2]:NN', 'B-COLOR')",0.594106
"('postag[:2]:NN', 'I-NAME')",0.050557
"('postag[:2]:NN', 'B-THEME')",0.66745
"('postag[:2]:NN', 'I-THEME')",-0.147279
"('postag[:2]:NN', 'B-AGE')",-0.112062
"('postag[:2]:NN', 'B-GENDER')",0.197906
"('postag[:2]:NN', 'B-SIZE')",0.01289
"('postag[:2]:NN', 'B-SHAPE')",0.608773
"('postag[:2]:NN', 'B-MATERIAL')",0.376309
"('postag[:2]:NN', 'B-MASS')",-0.28307
"('postag[:2]:NN', 'I-MASS')",0.508463
"('postag[:2]:NN', 'I-COLOR')",0.094674
"('postag[:2]:NN', 'B-DIMENSION')",-0.117166
"('postag[:2]:NN', 'I-MATERIAL')",0.08306
"('postag[:2]:NN', 'I-SHAPE')",-0.121357
"('postag[:2]:NN', 'I-DIMENSION')",0.270763
"('postag[:2]:NN', 'I-AGE')",0.074675
"('postag[:2]:NN', 'I-SIZE')",0.043862
"('postag[:2]:NN', 'I-STORAGE')",-0.034981
"('postag[:2]:NN', 'B-CAMERA')",-0.320076
"('postag[:2]:NN', 'I-CAMERA')",-0.460607
"('postag[:2]:NN', 'B-GRAPHIC')",-0.027998
"('postag[:2]:NN', 'I-GRAPHIC')",-0.053895
"('postag[:2]:NN', 'B-MEMORY')",-0.58966
"('postag[:2]:NN', 'I-MEMORY')",-0.762016
"('postag[:2]:NN', 'B-DISPLAY')",0.118482
"('postag[:2]:NN', 'I-GENDER')",-0.061204
"('BOS', 'B-TYPE')",2.170076
"('BOS', 'B-BRAND')",2.910701
"('BOS', 'O')",1.548984
"('BOS', 'B-NAME')",1.27383
"('BOS', 'B-COLOR')",0.858181
"('BOS', 'B-THEME')",0.300102
"('BOS', 'B-AGE')",1.041418
"('BOS', 'B-GENDER')",0.249494
"('BOS', 'B-SIZE')",0.223705
"('BOS', 'B-SHAPE')",0.832964
"('BOS', 'B-MATERIAL')",0.634498
"('BOS', 'B-MASS')",0.453502
"('BOS', 'B-DIMENSION')",0.173151
"('BOS', 'B-GRAPHIC')",0.951955
"('+1:word.lower():amd', 'B-TYPE')",0.116405
"('+1:word.lower():amd', 'O')",-0.042168
"('+1:word.lower():amd', 'B-NAME')",0.764882
"('+1:word.lower():amd', 'I-TYPE')",0.754274
"('+1:word.istitle()', 'B-TYPE')",-0.0464
"('+1:word.istitle()', 'B-BRAND')",0.138959
"('+1:word.istitle()', 'O')",0.198123
"('+1:word.istitle()', 'I-BRAND')",0.087908
"('+1:word.istitle()', 'B-NAME')",0.320005
"('+1:word.istitle()', 'B-PROCESSOR')",0.59675
"('+1:word.istitle()', 'I-PROCESSOR')",0.000408
"('+1:word.istitle()', 'I-RAM')",0.033446
"('+1:word.istitle()', 'B-CAPACITY')",0.837378
"('+1:word.istitle()', 'B-OS')",0.285917
"('+1:word.istitle()', 'I-TYPE')",0.003547
"('+1:word.istitle()', 'B-COLOR')",0.395122
"('+1:word.istitle()', 'I-NAME')",0.021607
"('+1:word.istitle()', 'B-THEME')",-0.238036
"('+1:word.istitle()', 'I-THEME')",0.019186
"('+1:word.istitle()', 'B-AGE')",-0.007241
"('+1:word.istitle()', 'B-GENDER')",0.744748
"('+1:word.istitle()', 'B-SIZE')",-0.233135
"('+1:word.istitle()', 'B-SHAPE')",0.092621
"('+1:word.istitle()', 'B-MATERIAL')",0.17363
"('+1:word.istitle()', 'B-MASS')",0.826412
"('+1:word.istitle()', 'I-MASS')",-0.599805
"('+1:word.istitle()', 'I-COLOR')",-0.483184
"('+1:word.istitle()', 'B-DIMENSION')",0.485174
"('+1:word.istitle()', 'I-MATERIAL')",0.022192
"('+1:word.istitle()', 'I-SHAPE')",0.623442
"('+1:word.istitle()', 'I-DIMENSION')",0.008848
"('+1:word.istitle()', 'I-AGE')",0.93589
"('+1:word.istitle()', 'I-SIZE')",-0.781538
"('+1:word.istitle()', 'I-OS')",0.225084
"('+1:word.istitle()', 'I-STORAGE')",-0.182254
"('+1:word.istitle()', 'I-CAMERA')",0.095753
"('+1:word.istitle()', 'B-MEMORY')",-1.8e-05
"('+1:word.istitle()', 'I-MEMORY')",0.129632
"('+1:word.istitle()', 'B-DISPLAY')",0.234529
"('+1:word.istitle()', 'I-GENDER')",0.212494
"('+1:word.isupper()', 'B-TYPE')",0.135345
"('+1:word.isupper()', 'B-BRAND')",-0.298911
"('+1:word.isupper()', 'O')",-0.004757
"('+1:word.isupper()', 'I-BRAND')",-0.224482
"('+1:word.isupper()', 'B-NAME')",0.04578
"('+1:word.isupper()', 'B-PROCESSOR')",0.832378
"('+1:word.isupper()', 'I-PROCESSOR')",0.241816
"('+1:word.isupper()', 'B-RAM')",0.287023
"('+1:word.isupper()', 'I-RAM')",-0.27099
"('+1:word.isupper()', 'B-CAPACITY')",0.699259
"('+1:word.isupper()', 'B-OS')",-0.457652
"('+1:word.isupper()', 'I-TYPE')",0.332119
"('+1:word.isupper()', 'I-CAPACITY')",-0.166393
"('+1:word.isupper()', 'B-COLOR')",0.394963
"('+1:word.isupper()', 'I-NAME')",-0.058789
"('+1:word.isupper()', 'B-THEME')",-0.05789
"('+1:word.isupper()', 'I-THEME')",0.066615
"('+1:word.isupper()', 'B-AGE')",0.178986
"('+1:word.isupper()', 'B-GENDER')",0.694701
"('+1:word.isupper()', 'B-SIZE')",-0.079014
"('+1:word.isupper()', 'B-MATERIAL')",0.050003
"('+1:word.isupper()', 'B-MASS')",-0.275549
"('+1:word.isupper()', 'I-MASS')",-0.025937
"('+1:word.isupper()', 'I-COLOR')",0.737349
"('+1:word.isupper()', 'B-DIMENSION')",-0.111281
"('+1:word.isupper()', 'I-MATERIAL')",0.210792
"('+1:word.isupper()', 'I-SHAPE')",-0.317071
"('+1:word.isupper()', 'I-DIMENSION')",0.126422
"('+1:word.isupper()', 'I-AGE')",-0.031643
"('+1:word.isupper()', 'I-SIZE')",0.028805
"('+1:word.isupper()', 'I-OS')",-0.21962
"('+1:word.isupper()', 'B-STORAGE')",-0.000706
"('+1:word.isupper()', 'I-STORAGE')",-0.067589
"('+1:word.isupper()', 'B-CPU')",0.02137
"('+1:word.isupper()', 'I-GRAPHIC')",0.590528
"('+1:word.isupper()', 'B-MEMORY')",0.611633
"('+1:word.isupper()', 'I-MEMORY')",0.430857
"('+1:word.isupper()', 'I-DISPLAY')",-0.14191
"('+1:word.isupper()', 'I-GENDER')",-0.117344
"('+1:postag:NNP', 'B-TYPE')",0.258766
"('+1:postag:NNP', 'B-BRAND')",0.287695
"('+1:postag:NNP', 'O')",0.201761
"('+1:postag:NNP', 'I-BRAND')",-0.00326
"('+1:postag:NNP', 'B-NAME')",0.195323
"('+1:postag:NNP', 'B-PROCESSOR')",0.012569
"('+1:postag:NNP', 'I-PROCESSOR')",0.000212
"('+1:postag:NNP', 'B-RAM')",-0.126086
"('+1:postag:NNP', 'B-CAPACITY')",-0.211131
"('+1:postag:NNP', 'B-OS')",-0.090508
"('+1:postag:NNP', 'I-TYPE')",-0.105555
"('+1:postag:NNP', 'I-CAPACITY')",0.068859
"('+1:postag:NNP', 'B-COLOR')",-0.166814
"('+1:postag:NNP', 'I-NAME')",0.253405
"('+1:postag:NNP', 'B-THEME')",0.294876
"('+1:postag:NNP', 'I-THEME')",0.205873
"('+1:postag:NNP', 'B-AGE')",-0.379393
"('+1:postag:NNP', 'B-GENDER')",-0.133329
"('+1:postag:NNP', 'B-SIZE')",0.018365
"('+1:postag:NNP', 'B-SHAPE')",-0.000246
"('+1:postag:NNP', 'B-MATERIAL')",0.193847
"('+1:postag:NNP', 'B-MASS')",0.089455
"('+1:postag:NNP', 'I-MASS')",-1.469832
"('+1:postag:NNP', 'I-COLOR')",0.014162
"('+1:postag:NNP', 'B-DIMENSION')",0.293805
"('+1:postag:NNP', 'I-MATERIAL')",-0.004882
"('+1:postag:NNP', 'I-DIMENSION')",0.355965
"('+1:postag:NNP', 'I-AGE')",0.089703
"('+1:postag:NNP', 'I-SIZE')",0.005472
"('+1:postag:NNP', 'B-STORAGE')",1.498384
"('+1:postag:NNP', 'B-CAMERA')",-0.009731
"('+1:postag:NNP', 'I-CAMERA')",0.415998
"('+1:postag:NNP', 'B-GRAPHIC')",0.473608
"('+1:postag:NNP', 'I-GRAPHIC')",-0.30484
"('+1:postag:NNP', 'B-MEMORY')",-0.149631
"('+1:postag:NNP', 'I-MEMORY')",0.179254
"('+1:postag:NNP', 'I-CPU')",-0.055242
"('+1:postag:NNP', 'B-DISPLAY')",0.126766
"('+1:postag:NNP', 'I-DISPLAY')",-0.004956
"('+1:postag[:2]:NN', 'B-TYPE')",0.632585
"('+1:postag[:2]:NN', 'B-BRAND')",0.364661
"('+1:postag[:2]:NN', 'O')",0.179963
"('+1:postag[:2]:NN', 'I-BRAND')",-0.051104
"('+1:postag[:2]:NN', 'B-NAME')",0.148176
"('+1:postag[:2]:NN', 'I-PROCESSOR')",-0.006018
"('+1:postag[:2]:NN', 'B-RAM')",0.124104
"('+1:postag[:2]:NN', 'B-CAPACITY')",-0.533927
"('+1:postag[:2]:NN', 'B-OS')",-0.198224
"('+1:postag[:2]:NN', 'I-TYPE')",0.131124
"('+1:postag[:2]:NN', 'I-CAPACITY')",0.538494
"('+1:postag[:2]:NN', 'B-COLOR')",-0.043369
"('+1:postag[:2]:NN', 'I-NAME')",0.182424
"('+1:postag[:2]:NN', 'B-THEME')",0.366098
"('+1:postag[:2]:NN', 'I-THEME')",0.066474
"('+1:postag[:2]:NN', 'B-AGE')",-0.04902
"('+1:postag[:2]:NN', 'B-GENDER')",-0.299121
"('+1:postag[:2]:NN', 'B-SIZE')",0.150702
"('+1:postag[:2]:NN', 'B-SHAPE')",-0.075299
"('+1:postag[:2]:NN', 'B-MATERIAL')",0.210138
"('+1:postag[:2]:NN', 'B-MASS')",0.242742
"('+1:postag[:2]:NN', 'I-MASS')",0.000132
"('+1:postag[:2]:NN', 'I-COLOR')",0.006213
"('+1:postag[:2]:NN', 'B-DIMENSION')",0.474374
"('+1:postag[:2]:NN', 'I-MATERIAL')",-0.038133
"('+1:postag[:2]:NN', 'I-SHAPE')",-0.174341
"('+1:postag[:2]:NN', 'I-DIMENSION')",0.051061
"('+1:postag[:2]:NN', 'I-AGE')",0.007242
"('+1:postag[:2]:NN', 'I-SIZE')",0.010071
"('+1:postag[:2]:NN', 'I-OS')",0.07945
"('+1:postag[:2]:NN', 'B-STORAGE')",0.412969
"('+1:postag[:2]:NN', 'B-CAMERA')",-0.118433
"('+1:postag[:2]:NN', 'I-CAMERA')",0.326586
"('+1:postag[:2]:NN', 'B-CPU')",0.426209
"('+1:postag[:2]:NN', 'B-GRAPHIC')",0.159685
"('+1:postag[:2]:NN', 'I-GRAPHIC')",-0.417969
"('+1:postag[:2]:NN', 'B-MEMORY')",-0.426087
"('+1:postag[:2]:NN', 'I-CPU')",-0.232607
"('+1:postag[:2]:NN', 'B-DISPLAY')",0.174215
"('+1:postag[:2]:NN', 'I-DISPLAY')",-0.071536
"('word.lower():amd', 'B-TYPE')",0.500972
"('word.lower():amd', 'B-BRAND')",0.970524
"('word[-3:]:AMD', 'B-TYPE')",0.500972
"('word[-3:]:AMD', 'B-BRAND')",0.970524
"('word[-2:]:MD', 'B-TYPE')",0.041993
"('word[-2:]:MD', 'B-BRAND')",0.706733
"('word[-2:]:MD', 'O')",0.402015
"('word[-2:]:MD', 'B-NAME')",0.142993
"('-1:word.lower():laptop', 'B-BRAND')",1.476379
"('-1:word.lower():laptop', 'O')",1.367341
"('-1:word.lower():laptop', 'B-PROCESSOR')",0.726709
"('-1:word.lower():laptop', 'I-TYPE')",0.20802
"('-1:word.istitle()', 'B-TYPE')",-0.147259
"('-1:word.istitle()', 'B-BRAND')",-0.18593
"('-1:word.istitle()', 'O')",0.059091
"('-1:word.istitle()', 'I-BRAND')",-0.058325
"('-1:word.istitle()', 'B-NAME')",0.207201
"('-1:word.istitle()', 'I-PROCESSOR')",0.372306
"('-1:word.istitle()', 'B-RAM')",1.0208
"('-1:word.istitle()', 'I-RAM')",-0.553634
"('-1:word.istitle()', 'B-CAPACITY')",0.249361
"('-1:word.istitle()', 'B-OS')",0.247664
"('-1:word.istitle()', 'I-TYPE')",0.032085
"('-1:word.istitle()', 'I-CAPACITY')",-0.708701
"('-1:word.istitle()', 'B-COLOR')",-0.204639
"('-1:word.istitle()', 'I-NAME')",-0.052588
"('-1:word.istitle()', 'B-THEME')",-0.79426
"('-1:word.istitle()', 'I-THEME')",0.264858
"('-1:word.istitle()', 'B-AGE')",-0.001866
"('-1:word.istitle()', 'B-GENDER')",0.074727
"('-1:word.istitle()', 'B-SIZE')",0.226483
"('-1:word.istitle()', 'B-SHAPE')",-0.184047
"('-1:word.istitle()', 'B-MATERIAL')",0.208646
"('-1:word.istitle()', 'B-MASS')",0.537482
"('-1:word.istitle()', 'I-MASS')",-1.179996
"('-1:word.istitle()', 'I-COLOR')",0.013611
"('-1:word.istitle()', 'B-DIMENSION')",0.39856
"('-1:word.istitle()', 'I-MATERIAL')",0.011934
"('-1:word.istitle()', 'I-SHAPE')",0.779315
"('-1:word.istitle()', 'I-DIMENSION')",-0.960312
"('-1:word.istitle()', 'I-AGE')",-0.368674
"('-1:word.istitle()', 'I-SIZE')",0.089804
"('-1:word.istitle()', 'B-STORAGE')",-0.039035
"('-1:word.istitle()', 'I-STORAGE')",-0.423214
"('-1:word.istitle()', 'B-CAMERA')",0.19621
"('-1:word.istitle()', 'I-CAMERA')",0.517305
"('-1:word.istitle()', 'B-CPU')",0.163579
"('-1:word.istitle()', 'B-GRAPHIC')",-0.657507
"('-1:word.istitle()', 'I-GRAPHIC')",-0.902927
"('-1:word.istitle()', 'B-MEMORY')",0.359698
"('-1:word.istitle()', 'I-CPU')",0.276512
"('-1:word.istitle()', 'B-DISPLAY')",-0.371791
"('-1:word.istitle()', 'I-DISPLAY')",-2e-06
"('-1:word.istitle()', 'I-GENDER')",-0.508047
"('-1:word.isupper()', 'B-TYPE')",0.361031
"('-1:word.isupper()', 'B-BRAND')",-0.115582
"('-1:word.isupper()', 'O')",0.041298
"('-1:word.isupper()', 'I-BRAND')",0.263419
"('-1:word.isupper()', 'B-NAME')",-0.144901
"('-1:word.isupper()', 'B-PROCESSOR')",0.945647
"('-1:word.isupper()', 'I-PROCESSOR')",-0.752241
"('-1:word.isupper()', 'I-RAM')",0.229697
"('-1:word.isupper()', 'B-CAPACITY')",0.201419
"('-1:word.isupper()', 'B-OS')",0.861586
"('-1:word.isupper()', 'I-TYPE')",0.076776
"('-1:word.isupper()', 'I-CAPACITY')",-1.299276
"('-1:word.isupper()', 'B-COLOR')",-0.01556
"('-1:word.isupper()', 'I-NAME')",-1.095412
"('-1:word.isupper()', 'B-THEME')",-0.68548
"('-1:word.isupper()', 'I-THEME')",0.004055
"('-1:word.isupper()', 'B-AGE')",0.769675
"('-1:word.isupper()', 'B-GENDER')",0.342285
"('-1:word.isupper()', 'B-SIZE')",0.330052
"('-1:word.isupper()', 'B-SHAPE')",0.131608
"('-1:word.isupper()', 'B-MATERIAL')",-0.000123
"('-1:word.isupper()', 'B-MASS')",-0.382406
"('-1:word.isupper()', 'I-MASS')",-0.907853
"('-1:word.isupper()', 'I-COLOR')",-0.035585
"('-1:word.isupper()', 'B-DIMENSION')",0.38698
"('-1:word.isupper()', 'I-MATERIAL')",0.63126
"('-1:word.isupper()', 'I-SHAPE')",0.482576
"('-1:word.isupper()', 'I-DIMENSION')",-0.662431
"('-1:word.isupper()', 'I-AGE')",-1.113405
"('-1:word.isupper()', 'I-SIZE')",-1.21112
"('-1:word.isupper()', 'I-OS')",-0.531246
"('-1:word.isupper()', 'B-STORAGE')",0.554738
"('-1:word.isupper()', 'I-STORAGE')",0.123078
"('-1:word.isupper()', 'B-CAMERA')",0.741654
"('-1:word.isupper()', 'I-CAMERA')",-0.365103
"('-1:word.isupper()', 'B-CPU')",0.288318
"('-1:word.isupper()', 'I-MEMORY')",0.065008
"('-1:word.isupper()', 'I-CPU')",-0.131096
"('-1:word.isupper()', 'B-DISPLAY')",-0.760103
"('-1:word.isupper()', 'I-DISPLAY')",0.155359
"('-1:word.isupper()', 'I-GENDER')",0.207049
"('-1:postag:NNP', 'B-TYPE')",0.24595
"('-1:postag:NNP', 'B-BRAND')",-0.307397
"('-1:postag:NNP', 'O')",0.330671
"('-1:postag:NNP', 'I-BRAND')",0.232515
"('-1:postag:NNP', 'B-NAME')",-0.030641
"('-1:postag:NNP', 'I-PROCESSOR')",0.420901
"('-1:postag:NNP', 'B-RAM')",-0.3109
"('-1:postag:NNP', 'I-RAM')",-0.171285
"('-1:postag:NNP', 'B-CAPACITY')",0.229668
"('-1:postag:NNP', 'I-TYPE')",0.036051
"('-1:postag:NNP', 'I-CAPACITY')",0.027607
"('-1:postag:NNP', 'B-COLOR')",0.299754
"('-1:postag:NNP', 'I-NAME')",0.440084
"('-1:postag:NNP', 'B-THEME')",0.098406
"('-1:postag:NNP', 'I-THEME')",0.055686
"('-1:postag:NNP', 'B-AGE')",0.28145
"('-1:postag:NNP', 'B-GENDER')",0.249753
"('-1:postag:NNP', 'B-SIZE')",0.095059
"('-1:postag:NNP', 'B-SHAPE')",-0.014634
"('-1:postag:NNP', 'B-MATERIAL')",0.106535
"('-1:postag:NNP', 'B-MASS')",0.529906
